title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	taxid_ch1	data_processing	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	supplementary_file_1
Sample 1_Paediatric pneumonia_1	GSM8144988	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938530	NONE
Sample 2_Paediatric pneumonia_2	GSM8144989	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938531	NONE
Sample 3_Paediatric pneumonia_3	GSM8144990	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938532	NONE
Sample 4_Paediatric pneumonia_4	GSM8144991	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938533	NONE
Sample 5_Paediatric pneumonia_5	GSM8144992	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938534	NONE
Sample 6_Paediatric pneumonia_6	GSM8144993	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938535	NONE
Sample 7_Paediatric pneumonia_7	GSM8144994	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938536	NONE
Sample 8_Paediatric pneumonia_8	GSM8144995	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938537	NONE
Sample 9_Paediatric pneumonia_9	GSM8144996	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938538	NONE
Sample 10_Paediatric pneumonia_10	GSM8144997	Public on Dec 09 2024	Mar 13 2024	Dec 09 2024	SRA	1	Whole blood	Homo sapiens	condition: Pneumonia	total RNA	The Illumina’s TruSeq RNA Sample Preparation Kit was used for library preparation, and ribosomal and globin RNA depletion was performed using the Illumina® Ribo-Zero Gold kit	9606	Supplementary files format and content: Coma-delimited excell file with normalized counts (Normalized_data.csv)	GPL20301	Alberto,,Gómez-Carballa	ksl8tr@gmail.com	Pediatrics	GENVIP research group	Choupana sn	Santiago de Compostela	A coruña	15706	Spain	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23938539	NONE
