supplementary_item	description	path	required_status	exists	status
Supplementary Table S1	External projection candidate search register to generate from search plan and candidate audit outputs	docs/formal_external_projection_candidate_search_register.md	to_generate	True	present
Supplementary Table S1	External projection candidate search plan	docs/formal_external_projection_candidate_search_plan.md	locate_or_confirm	True	present
Supplementary Table S1	GSE261482 external projection boundary	docs/GSE261482_external_projection_candidate_feasibility_audit_report.md	optional_if_exists	True	present
Supplementary Table S1	GSE68310 external projection boundary	docs/GSE68310_external_projection_candidate_feasibility_audit_report.md	optional_if_exists	True	present
Supplementary Table S2	GSE211567 final discovery module label table	docs/GSE211567_final_discovery_module_label_table_report.md	locate_or_confirm	True	present
Supplementary Table S3	GSE73461 locked module identifier coverage	results/external_projection_candidate_audit/GSE73461_identifier_coverage/GSE73461_locked_module_identifier_coverage.tsv	required	True	present
Supplementary Table S3	GSE73461 locked module matched genes	results/external_projection_candidate_audit/GSE73461_identifier_coverage/GSE73461_locked_module_matched_genes.tsv	required	True	present
Supplementary Table S3	GSE73461 locked module missing genes	results/external_projection_candidate_audit/GSE73461_identifier_coverage/GSE73461_locked_module_missing_genes.tsv	required	True	present
Supplementary Table S3	GSE73461 projection gene-probe choice	results/module_projection/GSE73461_fixed_module_projection/GSE73461_gene_probe_choice_for_projection.tsv	required	True	present
Supplementary Table S4	GSE73461 module scores long table	results/module_projection/GSE73461_fixed_module_projection/GSE73461_fixed_module_scores_long.tsv	required	True	present
Supplementary Table S4	GSE73461 module scores wide table	results/module_projection/GSE73461_fixed_module_projection/GSE73461_fixed_module_scores_wide.tsv	required	True	present
Supplementary Table S5	GSE73461 primary projection tests	results/module_projection/GSE73461_fixed_module_projection/GSE73461_fixed_module_primary_projection_tests.tsv	required	True	present
Supplementary Table S5	GSE73461 primary-only sensitivity projection tests	results/module_projection/GSE73461_primary_only_zscore_sensitivity/GSE73461_primary_only_zscore_primary_projection_tests.tsv	required	True	present
Supplementary Table S5	GSE73461 manuscript projection summary table	results/tables/GSE73461_manuscript_projection_summary_table.tsv	required	True	present
Supplementary Figure S2	GSE73461 projection figure plan	docs/GSE73461_projection_results_table_and_figure_plan.md	optional_if_exists	True	present
Supplementary Figure S2	GSE73461 manuscript projection figure caption	docs/GSE73461_manuscript_projection_figure_caption.md	optional_if_exists	True	present
Reproducibility package	Decision log	docs/decision_log.md	required	True	present
Reproducibility package	Methods Results alignment map	docs/methods_results_alignment_map.md	required	True	present
Reproducibility package	Manuscript package index	docs/manuscript_results_package_index.md	required	True	present
Reproducibility package	Package index path audit	results/audits/manuscript_results_package_index_path_audit.tsv	required	True	present
Reproducibility package	CMI manuscript QC summary	results/audits/complete_manuscript_v0.5_cmi_qc_summary.md	required	True	present
Reproducibility package	CMI manuscript QC details	results/audits/complete_manuscript_v0.5_cmi_qc_details.tsv	required	True	present
