category	item	path	status	value
figure_file	Figure_1A_GSE211567_primary_discovery_volcano.png	submission/figures/Figure_1A_GSE211567_primary_discovery_volcano.png	present	1855556
figure_file	Figure_1A_GSE211567_primary_discovery_volcano.svg	submission/figures/Figure_1A_GSE211567_primary_discovery_volcano.svg	present	4172200
figure_file	Figure_1A_GSE211567_primary_discovery_volcano.pdf	submission/figures/Figure_1A_GSE211567_primary_discovery_volcano.pdf	present	466633
figure_file	Figure_1B_GSE211567_site_stratified_concordance_summary.png	submission/figures/Figure_1B_GSE211567_site_stratified_concordance_summary.png	present	1044132
figure_file	Figure_1B_GSE211567_site_stratified_concordance_summary.svg	submission/figures/Figure_1B_GSE211567_site_stratified_concordance_summary.svg	present	74399
figure_file	Figure_1B_GSE211567_site_stratified_concordance_summary.pdf	submission/figures/Figure_1B_GSE211567_site_stratified_concordance_summary.pdf	present	15071
figure_file	Figure_1C_GSE211567_locked_discovery_module_gene_counts.png	submission/figures/Figure_1C_GSE211567_locked_discovery_module_gene_counts.png	present	927069
figure_file	Figure_1C_GSE211567_locked_discovery_module_gene_counts.svg	submission/figures/Figure_1C_GSE211567_locked_discovery_module_gene_counts.svg	present	62521
figure_file	Figure_1C_GSE211567_locked_discovery_module_gene_counts.pdf	submission/figures/Figure_1C_GSE211567_locked_discovery_module_gene_counts.pdf	present	14826
figure_file	Figure_2A_GSE73461_module_score_distributions.png	submission/figures/Figure_2A_GSE73461_module_score_distributions.png	present	4245539
figure_file	Figure_2A_GSE73461_module_score_distributions.svg	submission/figures/Figure_2A_GSE73461_module_score_distributions.svg	present	389151
figure_file	Figure_2A_GSE73461_module_score_distributions.pdf	submission/figures/Figure_2A_GSE73461_module_score_distributions.pdf	present	45376
figure_file	Figure_2B_GSE73461_main_vs_sensitivity_median_differences.png	submission/figures/Figure_2B_GSE73461_main_vs_sensitivity_median_differences.png	present	1081871
figure_file	Figure_2B_GSE73461_main_vs_sensitivity_median_differences.svg	submission/figures/Figure_2B_GSE73461_main_vs_sensitivity_median_differences.svg	present	76052
figure_file	Figure_2B_GSE73461_main_vs_sensitivity_median_differences.pdf	submission/figures/Figure_2B_GSE73461_main_vs_sensitivity_median_differences.pdf	present	15046
figure_file	Figure_2C_GSE73461_main_vs_sensitivity_pvalues.png	submission/figures/Figure_2C_GSE73461_main_vs_sensitivity_pvalues.png	present	1425686
figure_file	Figure_2C_GSE73461_main_vs_sensitivity_pvalues.svg	submission/figures/Figure_2C_GSE73461_main_vs_sensitivity_pvalues.svg	present	75997
figure_file	Figure_2C_GSE73461_main_vs_sensitivity_pvalues.pdf	submission/figures/Figure_2C_GSE73461_main_vs_sensitivity_pvalues.pdf	present	21454
manuscript_callout	Figure 1	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	present	1
manuscript_callout	Figure 2	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	present	1
manuscript_callout	Figure 1A	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	present	1
manuscript_callout	Figure 1B	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	present	1
manuscript_callout	Figure 1C	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	present	1
manuscript_callout	Figure 2A	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	present	1
manuscript_callout	Figure 2B	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	present	1
manuscript_callout	Figure 2C	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	absent	0
legend_check	Figure 1 legend heading	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	PASS	True
legend_check	Figure 2 legend heading	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	PASS	True
legend_check	Figure 1 panel A	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	PASS	True
legend_check	Figure 1 panel B	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	PASS	True
legend_check	Figure 1 panel C	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	PASS	True
legend_check	Figure 2 panel A	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	PASS	True
legend_check	Figure 2 panel B	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	PASS	True
legend_check	Figure 2 panel C	docs/complete_manuscript_draft_v1.6_step7b_single_author.md	PASS	True
