feature_id	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_P.Value	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_P.Value	United_States_adj.P.Val	pooled_direction	Sri_Lanka_direction	United_States_direction	pooled_Sri_Lanka_concordant	pooled_United_States_concordant	Sri_Lanka_United_States_concordant	all_three_concordant
NM_000016	-0.474429909027139	0.0221433687693589	0.0452388659436591	-0.441413788595743	0.0920883512115607	0.150353084813454	-0.4998054464115	0.154164324289878	0.270996951874243	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_000019	0.611648144904488	0.000244563902357684	0.000983715503469696	0.846509316823007	0.000409752737424202	0.00172156407473668	0.268115522577293	0.223565940961177	0.35577700215399	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_000020	-0.430970014993648	0.0130505367338567	0.0288746193318288	-0.961758531819352	1.20102357056636e-05	9.42301702148164e-05	0.376376347428673	0.195025272367908	0.322526289761498	-1	-1	1	TRUE	FALSE	FALSE	FALSE
NM_000027	0.0460606681268869	0.796271526170798	0.844002239341202	-0.0749183069200358	0.736935082337535	0.797210502010042	0.325667832634173	0.289763444857142	0.430853467189442	1	-1	1	FALSE	TRUE	FALSE	FALSE
NM_000028	0.068969185671184	0.78460679462797	0.835090542084341	-0.137340477804419	0.677819816840563	0.749141669908506	0.339804222909602	0.399358738767339	0.540963001129741	1	-1	1	FALSE	TRUE	FALSE	FALSE
NM_000030	0.233253338158577	0.223949471124132	0.308242634068239	0.321199263072184	0.223961832400185	0.313904529829141	0.0845624831244043	0.768651695427554	0.843968611527391	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_000032	0.733620044393249	0.00782269831736137	0.0187743866191508	1.05859132369649	0.0027653175567203	0.00824606053070043	0.432205664414416	0.324648936897132	0.467871592491586	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_000037	-0.199061296230429	0.355961357332285	0.447615139920044	-0.270085536489275	0.338246200517426	0.437922299744157	-0.0842952494806954	0.807798237502784	0.871367688879082	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_000038	-0.366646811161669	0.0270374724629832	0.0533309410974653	-0.750363710694717	0.00104771417369785	0.00374098121045944	0.140371409446807	0.570100875472824	0.693560886220635	-1	-1	1	TRUE	FALSE	FALSE	FALSE
NM_000043	-0.421179990936675	0.0206705537016678	0.0427083512055564	-0.733586153902268	0.00304139597843497	0.00892849561415747	-0.019450808216121	0.942947518769709	0.964406639453586	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_000045	2.55709342523132	2.15795079225742e-14	1.05517989961751e-12	2.59500937416283	1.26813133126118e-09	3.64911633005647e-08	2.646424106644	9.92144520923196e-07	3.66162820269781e-05	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_000046	-0.407100376338702	0.00954588708578503	0.0221883072790115	-0.801492609289833	0.000114583268031941	0.000612550328086284	0.145368883321178	0.558453461045277	0.684512795258917	-1	-1	1	TRUE	FALSE	FALSE	FALSE
NM_000049	0.232327569302595	0.255431635637539	0.343189605718182	0.557486272872308	0.0338557231174121	0.065103904483185	-0.196863838969784	0.560125649962262	0.685679921258204	1	1	-1	TRUE	FALSE	FALSE	FALSE
NM_000050	0.111504335213492	0.658339012490019	0.728912844755929	0.181950472550002	0.578506733332946	0.664840602225353	0.106632845512367	0.795532676394044	0.863399250838687	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_000052	-0.486252434327398	0.00521092617874689	0.0132976027368584	-0.781671634198687	0.000867893435836336	0.00319481460072815	-0.0701162498256244	0.793463610797949	0.861995695168025	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_000056	-0.7300048420549	0.00426504793393211	0.01121734529599	-0.0695125405398543	0.83078195374287	0.873000799912302	-1.84273466292482	1.11287692108349e-05	0.000216674226334152	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_000059	-1.92362336470933	4.90823128979736e-12	1.47830899946773e-10	-1.94974935215779	8.99485418292479e-08	1.48667841987035e-06	-2.0669594532652	1.84255650997426e-06	5.6866184634221e-05	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_000060	0.409353346312993	0.0135228847662584	0.0297354780033428	0.410515451505446	0.0794416842965478	0.132983530948913	0.348387096131521	0.140158298859293	0.253185116147523	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_000062	-1.50759581318789	1.18516818300056e-07	1.24617131923387e-06	-1.70398935901328	2.88497662504718e-06	2.85344448686046e-05	-1.42553063063817	0.0017525287330725	0.00901229676850523	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_000063	-1.09106032272138	3.04840541116574e-07	2.87571036876904e-06	-1.29872381307755	1.79386846508547e-06	1.90929086925196e-05	-0.86097864148468	0.0146441746469581	0.0452726617351236	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_000064	1.09918689287815	9.69921106028865e-05	0.000445099866899295	1.252967965791	0.000421144367191101	0.00176312878364137	0.983449318723043	0.035642100102684	0.0897442736271537	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_000067	-0.975163629301576	8.21128972168896e-05	0.00038521600549861	-1.53234580130775	1.34902446158625e-06	1.497177591968e-05	-0.209115753858275	0.597924169173131	0.716641823042878	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
