site	metric	value
Sri_Lanka	features_modelled	19999
Sri_Lanka	samples	141
Sri_Lanka	bacterial_samples	60
Sri_Lanka	viral_samples	81
Sri_Lanka	BH_FDR_lt_0.05	9915
Sri_Lanka	BH_FDR_lt_0.10	11317
Sri_Lanka	nominal_P_lt_0.05	11087
Sri_Lanka	abs_logFC_ge_0.5_and_FDR_lt_0.05	9765
Sri_Lanka	positive_logFC_features	8062
Sri_Lanka	negative_logFC_features	11937
United_States	features_modelled	19999
United_States	samples	83
United_States	bacterial_samples	41
United_States	viral_samples	42
United_States	BH_FDR_lt_0.05	6661
United_States	BH_FDR_lt_0.10	8183
United_States	nominal_P_lt_0.05	8600
United_States	abs_logFC_ge_0.5_and_FDR_lt_0.05	6657
United_States	positive_logFC_features	7287
United_States	negative_logFC_features	12712
