base_sample_id	sample_group	projection_role
Control_01	Control	secondary_control_context
Control_02	Control	secondary_control_context
Control_03	Control	secondary_control_context
Control_04	Control	secondary_control_context
Control_05	Control	secondary_control_context
Control_06	Control	secondary_control_context
Control_07	Control	secondary_control_context
Control_08	Control	secondary_control_context
Control_09	Control	secondary_control_context
Control_10	Control	secondary_control_context
Control_11	Control	secondary_control_context
Control_12	Control	secondary_control_context
Control_13	Control	secondary_control_context
Control_14	Control	secondary_control_context
Control_15	Control	secondary_control_context
Control_16	Control	secondary_control_context
Control_17	Control	secondary_control_context
Control_18	Control	secondary_control_context
Control_19	Control	secondary_control_context
Control_20	Control	secondary_control_context
Control_21	Control	secondary_control_context
Control_22	Control	secondary_control_context
Control_23	Control	secondary_control_context
Control_24	Control	secondary_control_context
Control_25	Control	secondary_control_context
Control_26	Control	secondary_control_context
Control_27	Control	secondary_control_context
Control_28	Control	secondary_control_context
Control_29	Control	secondary_control_context
Control_30	Control	secondary_control_context
Control_31	Control	secondary_control_context
Control_32	Control	secondary_control_context
Control_33	Control	secondary_control_context
Control_34	Control	secondary_control_context
Control_35	Control	secondary_control_context
Control_36	Control	secondary_control_context
Control_37	Control	secondary_control_context
Control_38	Control	secondary_control_context
Control_39	Control	secondary_control_context
Control_40	Control	secondary_control_context
Control_41	Control	secondary_control_context
Control_42	Control	secondary_control_context
Control_43	Control	secondary_control_context
Control_44	Control	secondary_control_context
Control_45	Control	secondary_control_context
Control_46	Control	secondary_control_context
Control_47	Control	secondary_control_context
Control_48	Control	secondary_control_context
Control_49	Control	secondary_control_context
Control_50	Control	secondary_control_context
Control_51	Control	secondary_control_context
Control_52	Control	secondary_control_context
Control_53	Control	secondary_control_context
Control_54	Control	secondary_control_context
Control_55	Control	secondary_control_context
DefiniteBacterial_01	DefiniteBacterial	primary_bacterial
DefiniteBacterial_02	DefiniteBacterial	primary_bacterial
DefiniteBacterial_03	DefiniteBacterial	primary_bacterial
DefiniteBacterial_04	DefiniteBacterial	primary_bacterial
DefiniteBacterial_05	DefiniteBacterial	primary_bacterial
DefiniteBacterial_06	DefiniteBacterial	primary_bacterial
DefiniteBacterial_07	DefiniteBacterial	primary_bacterial
DefiniteBacterial_08	DefiniteBacterial	primary_bacterial
DefiniteBacterial_09	DefiniteBacterial	primary_bacterial
DefiniteBacterial_10	DefiniteBacterial	primary_bacterial
DefiniteBacterial_11	DefiniteBacterial	primary_bacterial
DefiniteBacterial_12	DefiniteBacterial	primary_bacterial
DefiniteBacterial_13	DefiniteBacterial	primary_bacterial
DefiniteBacterial_14	DefiniteBacterial	primary_bacterial
DefiniteBacterial_15	DefiniteBacterial	primary_bacterial
DefiniteBacterial_16	DefiniteBacterial	primary_bacterial
DefiniteBacterial_17	DefiniteBacterial	primary_bacterial
DefiniteBacterial_18	DefiniteBacterial	primary_bacterial
DefiniteBacterial_19	DefiniteBacterial	primary_bacterial
DefiniteBacterial_20	DefiniteBacterial	primary_bacterial
DefiniteBacterial_21	DefiniteBacterial	primary_bacterial
DefiniteBacterial_22	DefiniteBacterial	primary_bacterial
DefiniteBacterial_23	DefiniteBacterial	primary_bacterial
DefiniteBacterial_24	DefiniteBacterial	primary_bacterial
DefiniteBacterial_25	DefiniteBacterial	primary_bacterial
DefiniteBacterial_26	DefiniteBacterial	primary_bacterial
