ID_REF	ARRAY_ID	SYMBOL	ENTREZID	ENSEMBL	SYMBOL_UPPER
ILMN_1343291	3450719	EEF1A1	1915	ENSG00000156508	EEF1A1
ILMN_1343295	4490161	GAPDH	2597	ENSG00000111640	GAPDH
ILMN_1651199	1770632				
ILMN_1651209	2940221	SLC35E2A	9906		SLC35E2A
ILMN_1651210	380154				
ILMN_1651221	2490538	CLXN	79645	ENSG00000034239	CLXN
ILMN_1651228	650349	RPS28	6234	ENSG00000233927	RPS28
ILMN_1651229	2510494	IPO13	9670	ENSG00000117408	IPO13
ILMN_1651230	2940041	PRSS41	360226	ENSG00000215148	PRSS41
ILMN_1651232	1940544	FAM86FP	653113		FAM86FP
ILMN_1651235	3130458	AFAP1	60312	ENSG00000196526	AFAP1
ILMN_1651236	4760411				
ILMN_1651237	2630433	CDT1	81620	ENSG00000167513	CDT1
ILMN_1651238	6480739	TRPV1	7442	ENSG00000196689	TRPV1
ILMN_1651249	2470482	PDE4DIP	9659	ENSG00000178104	PDE4DIP
ILMN_1651253	3830112	WIPF3	644150	ENSG00000122574	WIPF3
ILMN_1651254	6350711	LPP	4026	ENSG00000145012	LPP
ILMN_1651259	6560392	UGP2	7360	ENSG00000169764	UGP2
ILMN_1651260	1450041	CCNE2	9134	ENSG00000175305	CCNE2
ILMN_1651262	5810440	HNRNPAB	3182	ENSG00000197451	HNRNPAB
ILMN_1651268	5900035	BORCS5	118426	ENSG00000165714	BORCS5
ILMN_1651268	5900035	BORCS5	118426	ENSG00000280689	BORCS5
ILMN_1651278	2690270	SNIP1	79753	ENSG00000163877	SNIP1
ILMN_1651279	6180274				
ILMN_1651281	1500523	C8orf89	100130301	ENSG00000274443	C8ORF89
ILMN_1651282	990372	COL17A1	1308	ENSG00000065618	COL17A1
ILMN_1651285	1260093	BCL6B	255877	ENSG00000161940	BCL6B
ILMN_1651286	2030053	GRHL1	29841	ENSG00000134317	GRHL1
ILMN_1651288	6130021				
ILMN_1651292	2680739				
ILMN_1651296	2600136	FLT4	2324	ENSG00000037280	FLT4
ILMN_1651296	2600136	LOC143666	143666		LOC143666
ILMN_1651303	780195	ATP13A4	84239	ENSG00000127249	ATP13A4
ILMN_1651309	1850538				
ILMN_1651310	270021	AFDN	4301	ENSG00000130396	AFDN
ILMN_1651315	5670110	HMG20B	10362	ENSG00000064961	HMG20B
ILMN_1651316	6900634	CD69	969	ENSG00000110848	CD69
ILMN_1651325	7610086				
ILMN_1651328	6760445				
ILMN_1651329	1410747				
ILMN_1651330	3800008	KCNG4	93107	ENSG00000168418	KCNG4
ILMN_1651336	7330377	MLYCD	23417	ENSG00000103150	MLYCD
ILMN_1651339	5720762	BLTP3B	23074	ENSG00000111647	BLTP3B
ILMN_1651341	1300341	NOC2LP2	401010		NOC2LP2
ILMN_1651343	1770561	ITGA11	22801	ENSG00000137809	ITGA11
ILMN_1651346	6550026	TICAM2	353376	ENSG00000243414	TICAM2
ILMN_1651346	6550026	TMED7-TICAM2	100302736	ENSG00000251201	TMED7-TICAM2
ILMN_1651347	2070367	SERTAD2	9792	ENSG00000179833	SERTAD2
ILMN_1651351	2360347				
ILMN_1651354	3460070	SPP1	6696	ENSG00000118785	SPP1
ILMN_1651358	4830541	HBE1	3046	ENSG00000213931	HBE1
ILMN_1651364	6100594				
ILMN_1651365	3940088	ZBED2	79413	ENSG00000177494	ZBED2
ILMN_1651369	6060400	TMA7	51372	ENSG00000232112	TMA7
ILMN_1651370	5720092	USP21	27005	ENSG00000143258	USP21
ILMN_1651373	5220615	RHD	6007	ENSG00000187010	RHD
ILMN_1651378	6290053	AUP1	550	ENSG00000115307	AUP1
ILMN_1651380	1660735				
ILMN_1651385	5550253	MFN2	9927	ENSG00000116688	MFN2
ILMN_1651388	7510246				
ILMN_1651395	6110390	TIGD1	200765	ENSG00000221944	TIGD1
ILMN_1651396	380041	ABCA9	10350	ENSG00000154258	ABCA9
ILMN_1651403	3520327				
ILMN_1651404	2260520	LILRA6	79168	ENSG00000244482	LILRA6
ILMN_1651404	2260520	LILRA6	79168	ENSG00000275584	LILRA6
ILMN_1651404	2260520	LILRA6	79168	ENSG00000277177	LILRA6
ILMN_1651404	2260520	LILRA6	79168	ENSG00000275539	LILRA6
ILMN_1651404	2260520	LILRA6	79168	ENSG00000274148	LILRA6
ILMN_1651405	2190563	BRD9	65980	ENSG00000028310	BRD9
ILMN_1651408	4920376				
ILMN_1651415	6270408	DERL3	91319	ENSG00000099958	DERL3
ILMN_1651415	6270408	DERL3	91319	ENSG00000274437	DERL3
ILMN_1651428	3370100	SYTL2	54843	ENSG00000137501	SYTL2
ILMN_1651429	6400148	SELENOM	140606	ENSG00000198832	SELENOM
ILMN_1651430	6060279	CTRB2	440387	ENSG00000168928	CTRB2
ILMN_1651430	6060279	CTRB2	440387	ENSG00000284810	CTRB2
ILMN_1651433	5290703	DCK	1633	ENSG00000156136	DCK
ILMN_1651435	3290095				
ILMN_1651437	6370561	FOXI1	2299	ENSG00000168269	FOXI1
ILMN_1651438	7320494	ZFPM1	161882	ENSG00000179588	ZFPM1
ILMN_1651447	2750347				
ILMN_1651453	3610050	RNF224	643596	ENSG00000233198	RNF224
ILMN_1651456	5270068	UTY	7404	ENSG00000183878	UTY
ILMN_1651457	2140521	GPR32	2854	ENSG00000142511	GPR32
ILMN_1651464	1780528	KDM2B	84678	ENSG00000089094	KDM2B
ILMN_1651466	4560670				
ILMN_1651470	240181				
ILMN_1651477	1240170	ZCCHC9	84240	ENSG00000131732	ZCCHC9
ILMN_1651486	7560184	COX11	1353	ENSG00000166260	COX11
ILMN_1651488	380243				
ILMN_1651490	160398	CYP26A1	1592	ENSG00000095596	CYP26A1
ILMN_1651492	1400224	WNT2B	7482	ENSG00000134245	WNT2B
ILMN_1651495	6660592				
