ENTREZID	SYMBOL	GENENAME	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	recommended_use	direction_set	candidate_group_id	representative_GO	representative_TERM
6210	RPS15A	ribosomal protein S15a	0.9413329289266	1.48083565196838e-09	1.39742195275229	0.354047825554733	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6189	RPS3A	ribosomal protein S3A	0.923426159951376	4.76049153034386e-09	1.41703255494337	0.281518252426068	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6203	RPS9	ribosomal protein S9	0.917981723082076	5.25159079316342e-09	1.09524860714812	0.710725103204841	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6155	RPL27	ribosomal protein L27	0.961545224886126	6.57709825254048e-09	1.26225735191614	0.571128820629504	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
51121	RPL26L1	ribosomal protein L26 like 1	1.01779142892669	4.13805853014388e-08	1.25389311074601	0.707176409124017	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6175	RPLP0	ribosomal protein lateral stalk subunit P0	0.789103468601545	2.07898603782838e-07	1.17999470116209	0.263591038499308	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6201	RPS7	ribosomal protein S7	0.790592425426969	3.24590010157314e-07	1.2166563219586	0.233746652189371	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
9349	RPL23	ribosomal protein L23	0.827962621973926	3.7390044691387e-07	1.26006602138652	0.247957375371383	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6232	RPS27	ribosomal protein S27	0.823491350935432	4.2487672416444e-07	1.33471704439929	0.163045986195595	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6138	RPL15	ribosomal protein L15	0.863639333295638	2.17650988393705e-06	1.38247014501121	0.0890416144721429	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6133	RPL9	ribosomal protein L9	0.772687602089642	6.71953606222421e-06	1.1905994104294	0.192868315116375	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6160	RPL31	ribosomal protein L31	0.738783909947779	1.36238869750301e-05	1.18139689129579	0.132679629130271	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6139	RPL17	ribosomal protein L17	0.712286424459672	3.03045047696842e-05	1.07033554518422	0.205826149841478	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6164	RPL34	ribosomal protein L34	0.754133874972954	0.000159381627987174	1.22564947441387	0.086204583645625	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6229	RPS24	ribosomal protein S24	0.675687329340527	0.000164252772960764	0.913741330586204	0.331005519362698	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6159	RPL29	ribosomal protein L29	0.587611433035793	0.000201709914852122	0.925332935720541	0.082088349225134	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
