direction_set	GO_1	TERM_1	GO_2	TERM_2	jaccard_overlap	shared_gene_count	union_gene_count
bacterial_higher_site_aware_eligible	GO:0002181	cytoplasmic translation	GO:0006412	translation	0.64	16	25
bacterial_higher_site_aware_eligible	GO:0002181	cytoplasmic translation	GO:0006749	glutathione metabolic process	0	0	29
bacterial_higher_site_aware_eligible	GO:0002181	cytoplasmic translation	GO:0032981	mitochondrial respiratory chain complex I assembly	0	0	30
bacterial_higher_site_aware_eligible	GO:0002181	cytoplasmic translation	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	0	0	27
bacterial_higher_site_aware_eligible	GO:0002181	cytoplasmic translation	GO:0009060	aerobic respiration	0	0	28
bacterial_higher_site_aware_eligible	GO:0002181	cytoplasmic translation	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0	0	26
bacterial_higher_site_aware_eligible	GO:0002181	cytoplasmic translation	GO:0006096	glycolytic process	0	0	25
bacterial_higher_site_aware_eligible	GO:0006412	translation	GO:0006749	glutathione metabolic process	0	0	34
bacterial_higher_site_aware_eligible	GO:0006412	translation	GO:0032981	mitochondrial respiratory chain complex I assembly	0	0	35
bacterial_higher_site_aware_eligible	GO:0006412	translation	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	0	0	32
bacterial_higher_site_aware_eligible	GO:0006412	translation	GO:0009060	aerobic respiration	0	0	33
bacterial_higher_site_aware_eligible	GO:0006412	translation	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0	0	31
bacterial_higher_site_aware_eligible	GO:0006412	translation	GO:0006096	glycolytic process	0	0	30
bacterial_higher_site_aware_eligible	GO:0006749	glutathione metabolic process	GO:0032981	mitochondrial respiratory chain complex I assembly	0	0	23
bacterial_higher_site_aware_eligible	GO:0006749	glutathione metabolic process	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	0	0	20
bacterial_higher_site_aware_eligible	GO:0006749	glutathione metabolic process	GO:0009060	aerobic respiration	0	0	21
bacterial_higher_site_aware_eligible	GO:0006749	glutathione metabolic process	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0	0	19
bacterial_higher_site_aware_eligible	GO:0006749	glutathione metabolic process	GO:0006096	glycolytic process	0	0	18
bacterial_higher_site_aware_eligible	GO:0032981	mitochondrial respiratory chain complex I assembly	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	0.3125	5	16
bacterial_higher_site_aware_eligible	GO:0032981	mitochondrial respiratory chain complex I assembly	GO:0009060	aerobic respiration	0.294117647058824	5	17
bacterial_higher_site_aware_eligible	GO:0032981	mitochondrial respiratory chain complex I assembly	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0.428571428571429	6	14
bacterial_higher_site_aware_eligible	GO:0032981	mitochondrial respiratory chain complex I assembly	GO:0006096	glycolytic process	0	0	19
bacterial_higher_site_aware_eligible	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	GO:0009060	aerobic respiration	0.461538461538462	6	13
bacterial_higher_site_aware_eligible	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0.545454545454545	6	11
bacterial_higher_site_aware_eligible	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	GO:0006096	glycolytic process	0	0	16
bacterial_higher_site_aware_eligible	GO:0009060	aerobic respiration	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0.5	6	12
bacterial_higher_site_aware_eligible	GO:0009060	aerobic respiration	GO:0006096	glycolytic process	0	0	17
bacterial_higher_site_aware_eligible	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	GO:0006096	glycolytic process	0	0	15
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0045944	positive regulation of transcription by RNA polymerase II	0.176300578034682	61	346
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0006355	regulation of DNA-templated transcription	0.121527777777778	35	288
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0051607	defense response to virus	0.0156862745098039	4	255
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0009615	response to virus	0.0225225225225225	5	222
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0001817	regulation of cytokine production	0.0784313725490196	16	204
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0045893	positive regulation of DNA-templated transcription	0.103448275862069	30	290
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0045071	negative regulation of viral genome replication	0	0	211
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0060326	cell chemotaxis	0.00469483568075117	1	213
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0006955	immune response	0.00766283524904215	2	261
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0048167	regulation of synaptic plasticity	0.00975609756097561	2	205
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0006338	chromatin remodeling	0.092436974789916	22	238
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0045892	negative regulation of DNA-templated transcription	0.131782945736434	34	258
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0032092	positive regulation of protein binding	0.00483091787439614	1	207
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0042113	B cell activation	0	0	205
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0001756	somitogenesis	0.0198019801980198	4	202
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0009617	response to bacterium	0	0	219
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0030890	positive regulation of B cell proliferation	0.0145631067961165	3	206
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0006468	protein phosphorylation	0.0268199233716475	7	261
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0060907	positive regulation of macrophage cytokine production	0.00497512437810945	1	201
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0032728	positive regulation of interferon-beta production	0.00975609756097561	2	205
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0045087	innate immune response	0.0261194029850746	7	268
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0060337	type I interferon-mediated signaling pathway	0.015	3	200
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0030509	BMP signaling pathway	0.0343137254901961	7	204
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0019722	calcium-mediated signaling	0	0	215
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0030183	B cell differentiation	0.0241545893719807	5	207
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0030501	positive regulation of bone mineralization	0.0198019801980198	4	202
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0070371	ERK1 and ERK2 cascade	0.0147783251231527	3	203
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	0.013215859030837	3	227
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0006366	transcription by RNA polymerase II	0.091743119266055	20	218
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0032743	positive regulation of interleukin-2 production	0	0	205
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0045945	positive regulation of transcription by RNA polymerase III	0.005	1	200
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0045943	positive regulation of transcription by RNA polymerase I	0	0	203
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0007165	signal transduction	0.0289855072463768	10	345
viral_higher_site_aware_eligible	GO:0000122	negative regulation of transcription by RNA polymerase II	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.00952380952380953	2	210
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0006355	regulation of DNA-templated transcription	0.109677419354839	34	310
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0051607	defense response to virus	0.0408921933085502	11	269
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0009615	response to virus	0.0247933884297521	6	242
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0001817	regulation of cytokine production	0.0168776371308017	4	237
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0045893	positive regulation of DNA-templated transcription	0.179930795847751	52	289
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0045071	negative regulation of viral genome replication	0.00432900432900433	1	231
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0060326	cell chemotaxis	0.00427350427350427	1	234
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0006955	immune response	0.0364963503649635	10	274
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0048167	regulation of synaptic plasticity	0.00884955752212389	2	226
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0006338	chromatin remodeling	0.0891472868217054	23	258
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0045892	negative regulation of DNA-templated transcription	0.109929078014184	31	282
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0032092	positive regulation of protein binding	0.0132743362831858	3	226
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0042113	B cell activation	0.00444444444444444	1	225
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0001756	somitogenesis	0.0318181818181818	7	220
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0009617	response to bacterium	0.00840336134453782	2	238
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0030890	positive regulation of B cell proliferation	0.013215859030837	3	227
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0006468	protein phosphorylation	0.0321428571428571	9	280
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0060907	positive regulation of macrophage cytokine production	0.0229357798165138	5	218
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0032728	positive regulation of interferon-beta production	0.027027027027027	6	222
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0045087	innate immune response	0.0313588850174216	9	287
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0060337	type I interferon-mediated signaling pathway	0.0135746606334842	3	221
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0030509	BMP signaling pathway	0.0497737556561086	11	221
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0019722	calcium-mediated signaling	0	0	236
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0030183	B cell differentiation	0.026431718061674	6	227
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0030501	positive regulation of bone mineralization	0.0318181818181818	7	220
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0070371	ERK1 and ERK2 cascade	0.0179372197309417	4	223
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	0.0203252032520325	5	246
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0006366	transcription by RNA polymerase II	0.135964912280702	31	228
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0032743	positive regulation of interleukin-2 production	0.0134529147982063	3	223
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0045945	positive regulation of transcription by RNA polymerase III	0.0230414746543779	5	217
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0045943	positive regulation of transcription by RNA polymerase I	0.0228310502283105	5	219
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0007165	signal transduction	0.0444444444444444	16	360
viral_higher_site_aware_eligible	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.026431718061674	6	227
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0051607	defense response to virus	0.00512820512820513	1	195
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0009615	response to virus	0.0123456790123457	2	162
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0001817	regulation of cytokine production	0.00641025641025641	1	156
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0045893	positive regulation of DNA-templated transcription	0.142222222222222	32	225
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0045071	negative regulation of viral genome replication	0	0	148
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0060326	cell chemotaxis	0.00666666666666667	1	150
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0006955	immune response	0.0204081632653061	4	196
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0048167	regulation of synaptic plasticity	0.00699300699300699	1	143
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0006338	chromatin remodeling	0.0944444444444444	17	180
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0045892	negative regulation of DNA-templated transcription	0.111650485436893	23	206
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0032092	positive regulation of protein binding	0	0	145
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0042113	B cell activation	0	0	142
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0001756	somitogenesis	0.036231884057971	5	138
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0009617	response to bacterium	0	0	156
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0030890	positive regulation of B cell proliferation	0.0138888888888889	2	144
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0006468	protein phosphorylation	0.0199004975124378	4	201
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0060907	positive regulation of macrophage cytokine production	0	0	139
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0032728	positive regulation of interferon-beta production	0	0	144
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0045087	innate immune response	0.00952380952380953	2	210
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0060337	type I interferon-mediated signaling pathway	0	0	140
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0030509	BMP signaling pathway	0.0136986301369863	2	146
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0019722	calcium-mediated signaling	0	0	152
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0030183	B cell differentiation	0.00675675675675676	1	148
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0030501	positive regulation of bone mineralization	0.0214285714285714	3	140
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0070371	ERK1 and ERK2 cascade	0	0	143
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	0.0121212121212121	2	165
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0006366	transcription by RNA polymerase II	0.0479041916167665	8	167
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0032743	positive regulation of interleukin-2 production	0.00709219858156028	1	141
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0045945	positive regulation of transcription by RNA polymerase III	0.0072992700729927	1	137
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0045943	positive regulation of transcription by RNA polymerase I	0.00719424460431655	1	139
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0007165	signal transduction	0.028169014084507	8	284
viral_higher_site_aware_eligible	GO:0006355	regulation of DNA-templated transcription	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.00675675675675676	1	148
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0009615	response to virus	0.25	20	80
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0001817	regulation of cytokine production	0	0	93
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0045893	positive regulation of DNA-templated transcription	0.0376344086021505	7	186
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0045071	negative regulation of viral genome replication	0.235294117647059	16	68
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0060326	cell chemotaxis	0	0	87
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0006955	immune response	0.0381679389312977	5	131
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0048167	regulation of synaptic plasticity	0	0	80
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0006338	chromatin remodeling	0.0152671755725191	2	131
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0045892	negative regulation of DNA-templated transcription	0.0122699386503067	2	163
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0032092	positive regulation of protein binding	0.0125	1	80
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0042113	B cell activation	0.012987012987013	1	77
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0001756	somitogenesis	0	0	79
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0009617	response to bacterium	0	0	92
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0030890	positive regulation of B cell proliferation	0.025	2	80
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0006468	protein phosphorylation	0.00714285714285714	1	140
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0060907	positive regulation of macrophage cytokine production	0.0563380281690141	4	71
