module_A	module_B	genes_A	genes_B	shared_genes	union_genes	jaccard_gene_overlap	shared_gene_ids	shared_symbols
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	21	21	21	21	1	113115;137682;25880;284184;4191;4696;4697;4707;4709;4718;4724;4731;498;51103;521;55471;84233;847;9016;91942;9551	MTFR2;NDUFAF6;TMEM186;NDUFAF8;MDH2;NDUFA3;NDUFA4;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;ATP5F1A;NDUFAF1;ATP5ME;NDUFAF7;TMEM126A;CAT;SLC25A14;NDUFAF2;ATP5MF
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	21	25	0	46	0	""	""
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	21	128	0	149	0	""	""
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	21	33	0	54	0	""	""
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support	21	106	0	127	0	""	""
higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	25	21	0	46	0	""	""
higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	25	25	25	25	1	100288805;1979;28998;29093;51023;51121;6133;6138;6139;6154;6155;6159;6160;6164;6175;6189;6192;6201;6203;6210;6229;6232;64963;7311;9349	HYDIN2;EIF4EBP2;MRPL13;MRPL22;MRPS18C;RPL26L1;RPL9;RPL15;RPL17;RPL26;RPL27;RPL29;RPL31;RPL34;RPLP0;RPS3A;RPS4Y1;RPS7;RPS9;RPS15A;RPS24;RPS27;MRPS11;UBA52;RPL23
higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	25	128	0	153	0	""	""
higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	25	33	0	58	0	""	""
higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support	25	106	0	131	0	""	""
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	128	21	0	149	0	""	""
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	128	25	0	153	0	""	""
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	128	128	128	128	1	10010;100507436;10146;1021;10219;10346;10379;10410;10417;10462;10475;10521;10527;10561;10771;10892;10964;11040;11043;11126;11277;117157;117854;122618;1435;146857;151636;164668;1654;1672;200316;22890;22954;23052;23087;23138;23547;23586;24138;2444;246778;2537;255231;256987;2625;2633;2635;27293;3429;3430;3433;3434;3437;353376;3665;3669;403313;4063;4210;4343;439996;4599;4600;481;4938;4939;4940;50943;51191;51251;51284;5359;5366;5371;54625;54726;54809;5551;55601;55718;558;5610;56829;575;58487;59;596;6355;639;640;64108;64127;64135;64170;64343;665;6714;6772;6773;7098;710;717;7292;79132;81030;83666;84851;85363;85364;8575;8638;8725;8767;912;91351;91543;91607;9188;9213;9246;9258;958;9582;9618;9636;9782;9830;9908	TANK;MICA;G3BP1;CDK6;KLRG1;TRIM22;IRF9;IFITM3;SPON2;CLEC10A;TRIM38;DDX17;IPO7;IFI44;ZMYND11;MALT1;IFI44L;PIM2;MID2;CD160;TREX1;SH2D1B;TRIM6;PLD4;CSF1;SLFN13;DTX3L;APOBEC3H;DDX3X;DEFB1;APOBEC3F;ZBTB1;TRIM32;ENDOD1;TRIM35;N4BP3;LILRA4;RIGI;IFIT5;FRK;IL27;IFI6;MCOLN2;SERINC5;GATA3;GBP1;GBP3;SMPDL3B;IFI27;IFI35;IFIT2;IFIT1;IFIT3;TICAM2;IRF7;ISG20;PLPP6;LY9;MEFV;MOV10;IFIT1B;MX1;MX2;ATP1B1;OAS1;OAS2;OAS3;FOXP3;HERC5;NT5C3A;TLR7;PLSCR1;PMAIP1;PML;PARP14;OTUD4;SAMD9;PRF1;DDX60;POLR3E;AXL;EIF2AK2;ZC3HAV1;ADGRB1;CREBZF;ACTA2;BCL2;CCL8;PRDM1;BLK;RTP4;NOD2;IFIH1;CARD9;AZI2;BNIP3L;SRC;STAT1;STAT2;TLR3;SERPING1;C2;TNFSF4;DHX58;ZBP1;PARP9;TRIM52;TRIM5;ZCCHC3;PRKRA;OASL;URI1;RIPK2;CD1D;DDX60L;RSAD2;SLFN11;DDX21;XPR1;UBE2L6;MFHAS1;CD40;APOBEC3B;TRAF4;ISG15;MATR3;TRIM14;G3BP2
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	128	33	29	132	0.21969696969697	10010;10410;11277;117854;1654;200316;23586;24138;3429;3434;3665;3669;4599;4938;4939;4940;51284;5359;5610;56829;64135;64343;6772;6773;7098;8638;8767;91543;9636	TANK;IFITM3;TREX1;TRIM6;DDX3X;APOBEC3F;RIGI;IFIT5;IFI27;IFIT1;IRF7;ISG20;MX1;OAS1;OAS2;OAS3;TLR7;PLSCR1;EIF2AK2;ZC3HAV1;IFIH1;AZI2;STAT1;STAT2;TLR3;OASL;RIPK2;RSAD2;ISG15
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support	128	106	18	216	0.0833333333333333	100507436;10346;10410;10417;10561;10964;1672;22890;2537;2625;51284;64127;64170;7098;7292;8575;8767;912	MICA;TRIM22;IFITM3;SPON2;IFI44;IFI44L;DEFB1;ZBTB1;IFI6;GATA3;TLR7;NOD2;CARD9;TLR3;TNFSF4;PRKRA;RIPK2;CD1D
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	33	21	0	54	0	""	""
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	33	25	0	58	0	""	""
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	33	128	29	132	0.21969696969697	10010;10410;11277;117854;1654;200316;23586;24138;3429;3434;3665;3669;4599;4938;4939;4940;51284;5359;5610;56829;64135;64343;6772;6773;7098;8638;8767;91543;9636	TANK;IFITM3;TREX1;TRIM6;DDX3X;APOBEC3F;RIGI;IFIT5;IFI27;IFIT1;IRF7;ISG20;MX1;OAS1;OAS2;OAS3;TLR7;PLSCR1;EIF2AK2;ZC3HAV1;IFIH1;AZI2;STAT1;STAT2;TLR3;OASL;RIPK2;RSAD2;ISG15
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	33	33	33	33	1	10010;10410;11277;117854;1654;200316;23586;24138;26137;3429;3434;3665;3669;4599;4938;4939;4940;51284;5359;5610;56829;5781;63901;64135;64343;6772;6773;7098;8638;8767;91543;9636;9868	TANK;IFITM3;TREX1;TRIM6;DDX3X;APOBEC3F;RIGI;IFIT5;ZBTB20;IFI27;IFIT1;IRF7;ISG20;MX1;OAS1;OAS2;OAS3;TLR7;PLSCR1;EIF2AK2;ZC3HAV1;PTPN11;FAM111A;IFIH1;AZI2;STAT1;STAT2;TLR3;OASL;RIPK2;RSAD2;ISG15;TOMM70
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support	33	106	5	134	0.0373134328358209	10410;26137;51284;7098;8767	IFITM3;ZBTB20;TLR7;TLR3;RIPK2
higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support	higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	106	21	0	127	0	""	""
higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support	higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	106	25	0	131	0	""	""
higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	106	128	18	216	0.0833333333333333	100507436;10346;10410;10417;10561;10964;1672;22890;2537;2625;51284;64127;64170;7098;7292;8575;8767;912	MICA;TRIM22;IFITM3;SPON2;IFI44;IFI44L;DEFB1;ZBTB1;IFI6;GATA3;TLR7;NOD2;CARD9;TLR3;TNFSF4;PRKRA;RIPK2;CD1D
higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	106	33	5	134	0.0373134328358209	10410;26137;51284;7098;8767	IFITM3;ZBTB20;TLR7;TLR3;RIPK2
