feature_id	N
NM_000063	7
NM_000076	2
NM_000106	6
NM_000175	2
NM_000247	5
NM_000314	2
NM_000344	5
NM_000359	2
NM_000420	2
NM_000544	8
NM_000594	8
NM_000595	7
NM_000797	2
NM_000934	2
NM_001001437	4
NM_001001438	2
NM_001001992	2
NM_001002029	5
NM_001002843	2
NM_001002844	2
NM_001002862	2
NM_001002914	2
NM_001003693	7
NM_001003702	2
NM_001003799	2
NM_001003806	2
NM_001005335	2
NM_001005851	2
NM_001006	2
NM_001007072	2
NM_001008701	2
NM_001010880	2
NM_001010923	2
NM_001011551	2
NM_001012267	2
NM_001012978	2
NM_001013255	2
NM_001013672	2
NM_001015891	2
NM_001017921	2
NM_001017987	2
NM_001018073	2
NM_001024210	2
NM_001024211	2
NM_001024213	2
NM_001024938	2
NM_001024939	2
NM_001025161	6
NM_001025194	2
NM_001025195	2
NM_001031666	2
NM_001031722	7
NM_001031809	2
NM_001032410	2
NM_001033580	2
NM_001039083	4
NM_001039535	2
NM_001039651	6
NM_001040078	2
NM_001042	2
NM_001042404	2
NM_001042405	2
NM_001042500	2
NM_001042618	2
NM_001077180	2
NM_001077195	2
NM_001077497	7
NM_001077511	7
NM_001079528	2
NM_001079877	2
NM_001080392	2
NM_001080770	41
NM_001080772	41
NM_001080826	2
NM_001082480	2
NM_001083539	10
NM_001083899	10
NM_001098506	2
NM_001098728	4
NM_001099677	2
NM_001100607	2
NM_001100625	2
NM_001100878	2
NM_001102397	2
NM_001102398	2
NM_001102399	2
NM_001103154	4
NM_001104925	2
NM_001105669	2
NM_001109809	8
NM_001114397	2
NM_001115152	2
NM_001122630	2
NM_001122631	2
NM_001122838	2
NM_001126049	2
NM_001127213	2
NM_001128159	2
NM_001128423	4
NM_001128595	2
NM_001128596	2
NM_001130080	2
NM_001130677	2
NM_001130914	2
NM_001130991	2
NM_001135110	2
NM_001135670	2
NM_001135671	2
NM_001135686	10
NM_001135751	2
NM_001135775	2
NM_001135812	2
NM_001137667	2
NM_001137668	2
NM_001142272	2
NM_001142275	2
NM_001142307	2
NM_001142469	2
NM_001142577	2
NM_001142578	2
NM_001142579	2
NM_001142854	2
NM_001143685	2
NM_001143760	2
NM_001143761	2
NM_001143762	2
NM_001143778	2
NM_001144073	2
NM_001144900	2
NM_001145112	2
NM_001145149	2
NM_001145303	10
NM_001145457	16
NM_001145458	16
NM_001145466	8
NM_001145467	8
NM_001145829	2
NM_001145841	2
NM_001145901	2
NM_001145903	7
NM_001145971	10
NM_001146029	2
NM_001146030	2
NM_001146095	2
NM_001146096	2
NM_001146160	2
NM_001159560	2
NM_001159740	7
NM_001159770	2
NM_001161520	2
NM_001163735	2
NM_001164277	2
NM_001164278	2
NM_001164279	2
NM_001164280	2
NM_001164407	2
NM_001164579	2
NM_001164685	2
