feature_id	pooled_rank	pooled_logFC	pooled_AveExpr	pooled_t	pooled_P.Value	pooled_adj.P.Val	pooled_B	Sri_Lanka_rank	Sri_Lanka_logFC	Sri_Lanka_P.Value	Sri_Lanka_adj.P.Val	United_States_rank	United_States_logFC	United_States_P.Value	United_States_adj.P.Val	pooled_direction	Sri_Lanka_direction	United_States_direction	pooled_Sri_Lanka_concordant	pooled_United_States_concordant	Sri_Lanka_United_States_concordant	all_three_concordant	pooled_FDR05	pooled_FDR10	Sri_Lanka_FDR05	United_States_FDR05	site_FDR05_count	site_direction_concordance_count	min_abs_site_logFC	mean_abs_site_logFC	stability_tier	recommended_use	bacterial_higher_stable	viral_higher_stable
NM_001039570	46	2.09284144783977	5.2770062896782	12.2865216212423	4.31259134696329e-27	1.87494596408519e-24	50.850501813539	138	2.16952352867676	1.87596661626929e-18	2.71865625788185e-16	12	2.15199830018387	1.83781056121018e-11	2.86526813314588e-08	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	2.15199830018387	2.16076091443032	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_005621	82	2.31189566343272	9.81978529993617	11.3842824041564	3.57006179206776e-24	8.70703241214184e-22	44.2355660620912	250	2.22973879171599	6.77216020186333e-15	5.41745727508259e-13	7	2.57998561078915	9.93946982192054e-12	2.8397065281227e-08	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	2.22973879171599	2.40486220125257	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NR_137422	89	2.64325730659584	3.36673965081042	11.2910005099086	7.0980756603726e-24	1.5949934284471e-21	43.5590886270522	148	2.81416866651222	6.72971033264705e-18	9.09374844206813e-16	70	2.63246463371614	1.93470159244635e-09	5.46628976505366e-07	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	2.63246463371614	2.72331665011418	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_001039617	93	4.43643979087893	1.29627674976582	11.2380584006837	1.22581356530691e-23	2.63602639705085e-21	43.0245078794139	144	4.81792902057645	4.39984055661348e-18	6.11058411748007e-16	172	4.06969036979201	3.03755536057136e-08	3.5318645148876e-06	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	4.06969036979201	4.44380969518423	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NR_135618	99	4.34658364269862	0.39965391284106	11.1478236399326	2.3066437478112e-23	4.65965336489659e-21	42.4017173999515	150	4.6005037439047	7.41197405516943e-18	9.88213794195556e-16	133	4.21270087557518	1.3720282173504e-08	2.06309716682636e-06	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	4.21270087557518	4.40660230973994	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_000717	101	2.72277672186136	3.34950281941021	11.0874158182475	3.16312865031808e-23	6.26330790868429e-21	42.0882933844004	172	2.8661978481867	3.67060555673162e-17	4.26793258889974e-15	69	2.7650033077331	1.76724932679733e-09	5.12220569371301e-07	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	2.7650033077331	2.8156005779599	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_001177520	108	2.48669449677871	6.8427611876818	10.88841514574	1.35237618710708e-22	2.50427512647727e-20	40.6584660964821	241	2.50761003455918	2.99659227737442e-15	2.48667423050668e-13	43	2.65525595537864	3.65295935115395e-10	1.62447226920067e-07	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	2.50761003455918	2.58143299496891	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_000478	109	2.44739880195037	7.11850305517804	10.8429773502546	1.88224809280705e-22	3.45349354202277e-20	40.3331376617125	244	2.46524618630913	3.79392196351259e-15	3.10961661263477e-13	49	2.61941660773794	4.04211340561431e-10	1.62447226920067e-07	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	2.46524618630913	2.54233139702354	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_001127501	112	2.45662243123401	6.97607628549062	10.8298048148229	2.07140833540934e-22	3.6987585089153e-20	40.2389058589317	247	2.4745779985611	4.64843038415629e-15	3.7637230466697e-13	48	2.62436620040768	4.03884688802536e-10	1.62447226920067e-07	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	2.4745779985611	2.54947209948439	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_000714	114	1.43888946966934	6.82488406631103	10.767237984746	3.26276309869372e-22	5.72385957989261e-20	39.7918326010484	398	1.32636432925456	2.84984188452803e-12	1.43200974494161e-10	10	1.69770212539421	1.45843248524161e-11	2.84690777765825e-08	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	1.32636432925456	1.51203322732438	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
