feature_id	pooled_rank	pooled_logFC	pooled_AveExpr	pooled_t	pooled_P.Value	pooled_adj.P.Val	pooled_B	Sri_Lanka_rank	Sri_Lanka_logFC	Sri_Lanka_P.Value	Sri_Lanka_adj.P.Val	United_States_rank	United_States_logFC	United_States_P.Value	United_States_adj.P.Val	pooled_direction	Sri_Lanka_direction	United_States_direction	pooled_Sri_Lanka_concordant	pooled_United_States_concordant	Sri_Lanka_United_States_concordant	all_three_concordant	pooled_FDR05	pooled_FDR10	Sri_Lanka_FDR05	United_States_FDR05	site_FDR05_count	site_direction_concordance_count	min_abs_site_logFC	mean_abs_site_logFC	stability_tier	recommended_use	bacterial_higher_stable	viral_higher_stable
NM_001288960	1	-4.76772856416775	3.77709184581192	-15.3994165548774	2.12285936664954e-37	2.51896266086772e-33	74.2183084252615	35	-5.43444150089658	4.45053812175307e-30	2.5430374827697e-27	1	-4.14967904484638	1.22654929159125e-12	1.28316085745183e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	4.14967904484638	4.79206027287148	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_005532	2	-4.81837753017959	4.23642872437083	-15.37710816091	2.51908861529849e-37	2.51896266086772e-33	74.0499021714682	19	-5.52678464085139	2.92001300124565e-31	3.07354421115325e-28	14	-4.08381079202037	2.32844691018481e-11	3.32618641119901e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	4.08381079202037	4.80529771643588	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001130080	3	-4.81705958106437	4.38111043295665	-15.3008529075976	4.52173335691478e-37	2.64942104514239e-33	73.4742112502408	18	-5.53024817052497	2.59223942670403e-31	2.88012201636966e-28	24	-4.05157977528598	5.17488839301945e-11	4.2652973328083e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	4.05157977528598	4.79091397290548	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001288954	4	-4.79480048589289	3.59905090248978	-15.2721080295354	5.63739522455134e-37	2.64942104514239e-33	73.2571873506293	20	-5.55826501223452	3.30151773593147e-31	3.30135266004467e-28	16	-4.00041609587743	2.92054425583901e-11	3.65049778578278e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	4.00041609587743	4.77934055405598	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001288956	5	-4.93269689104916	4.11835502120306	-15.2141869518114	8.79157339900911e-37	2.64942104514239e-33	72.8198647003026	13	-5.68949973888044	4.73856277353687e-32	7.28973206984338e-29	35	-4.15913055220575	9.70405716842382e-11	5.54489826603737e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	4.15913055220575	4.9243151455431	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001288958	6	-4.77312304752019	3.34462887156248	-15.1977632729687	9.97216787556153e-37	2.64942104514239e-33	72.6958569001185	29	-5.51126947384412	1.27098555847463e-30	8.76497937377036e-28	8	-4.044047991394	1.29376855067014e-11	2.84690777765825e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	4.044047991394	4.77765873261906	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001288995	7	-4.93691454242958	3.94131632415083	-15.1975474768237	9.9886916240046e-37	2.64942104514239e-33	72.6942275110227	15	-5.72329105432559	7.02952107346282e-32	9.37222612987886e-29	25	-4.16272445652732	5.33188826042339e-11	4.2652973328083e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	4.16272445652732	4.94300775542646	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001288957	8	-4.70139009265579	3.28217728743962	-15.1898270820007	1.05982140912741e-36	2.64942104514239e-33	72.6359337876715	26	-5.42854915200071	9.64905103793744e-31	7.42197583491195e-28	11	-3.97796822635342	1.56587757159062e-11	2.84690777765825e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	3.97796822635342	4.70325868917707	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001288952	9	-4.7889997422139	3.8046399882334	-15.0688127218204	2.68193594769047e-36	5.68208162155024e-33	71.7221726517023	22	-5.55682130237356	6.03610294216302e-31	5.48709194274174e-28	30	-3.98733140323609	7.11988676897197e-11	4.61893848513587e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	3.98733140323609	4.77207635280483	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001366994	10	-4.73046403960195	3.58964576280519	-15.0612943098138	2.84118286991862e-36	5.68208162155024e-33	71.6654012410982	24	-5.47961322168849	7.71159253271331e-31	6.4260057942389e-28	29	-3.95021979267381	6.67121331470055e-11	4.60060672692056e-08	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	3.95021979267381	4.71491650718115	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
