final_module_id	final_module_label	final_module_direction	projection_role	sample_group	n	mean_score	median_score	sd_score	q25	q75
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	primary_bacterial	DefiniteBacterial	52	0.0921757900002996	-0.0512099069297803	0.78215732580566	-0.338334196366245	0.376390423070351
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	primary_viral	DefiniteViral	94	-0.0654060472890546	-0.257923917899844	0.798805757478836	-0.587739663183667	0.23333369153463
BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	primary_bacterial	DefiniteBacterial	52	0.208899367239193	0.241090687872253	0.658195922707901	-0.127795561385027	0.464963341920626
BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	primary_viral	DefiniteViral	94	-0.0141779661485658	-0.0917458119629794	0.682421301666957	-0.553296880871526	0.329358660367584
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	primary_bacterial	DefiniteBacterial	52	-0.246550746041787	-0.295749009701834	0.376151870387088	-0.478133593600329	0.00882149206676952
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	primary_viral	DefiniteViral	94	0.233626632696282	0.167198442572938	0.603604130119917	-0.217572310856059	0.606812342904772
VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	primary_bacterial	DefiniteBacterial	52	-0.26956497367652	-0.375413651876157	0.421419738005672	-0.531361145696958	-0.0528256895656608
VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	primary_viral	DefiniteViral	94	0.340436467764166	0.298485202161975	0.739696372266219	-0.143058267219243	0.70303099728167
VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	primary_bacterial	DefiniteBacterial	52	-0.17144790813375	-0.220858728537747	0.398701313383479	-0.374691605360649	0.0545686034945236
VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	primary_viral	DefiniteViral	94	0.0908367815252405	0.038698374091173	0.508054140482322	-0.308247387286823	0.432354569406797
