SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
A1BG-AS1	A1BG-AS1	503538	5570010	ILMN_3234888	4.136597
A1CF	A1CF	29974	2650615	ILMN_1806310	3.938184
A2M	A2M	2	2370438	ILMN_1745607	-14.01937
A2ML1	A2ML1	144568	4050154	ILMN_2136495	-15.08308
A4GALT	A4GALT	53947	3610072	ILMN_1735045	-7.132263
A4GNT	A4GNT	51146	6480136	ILMN_1680754	28.10411
AAAS	AAAS	8086	60689	ILMN_1755321	21.71894
AACS	AACS	65985	1580504	ILMN_1698554	29.52386
AACSP1	AACSP1	729522	4570132	ILMN_1814092	37.42403
AADAC	AADAC	13	6200619	ILMN_1760414	3.232536
AADACL2	AADACL2	344752	1780408	ILMN_1752884	-0.3347946
AADACL3	AADACL3	126767	6860546	ILMN_1812867	7.715765
AADACL4	AADACL4	343066	2600309	ILMN_1668851	-1.530214
AADACP1	AADACP1	201651	5550494	ILMN_3281480	7.736621
AADAT	AADAT	51166	6270181	ILMN_1726986	21.07123
AAGAB	AAGAB	79719	5490500	ILMN_3237396	221.6951
AAK1	AAK1	22848	1170332	ILMN_1688755	281.201
AAMDC	AAMDC	28971	3310228	ILMN_1779163	97.02479
AAMP	AAMP	14	4610048	ILMN_1653165	192.5088
AANAT	AANAT	15	1070703	ILMN_1729835	-16.9805
AAR2	AAR2	25980	5130129	ILMN_1721225	488.2968
AARD	AARD	441376	1980349	ILMN_2159290	-6.53224
AARS1	AARS1	16	290603	ILMN_1662364	986.8609
AARS2	AARS2	57505	540255	ILMN_1674698	159.3008
AASDH	AASDH	132949	4150561	ILMN_1784269	106.8077
AASDHPPT	AASDHPPT	60496	7040717	ILMN_2096191	237.3462
AASS	AASS	10157	60280	ILMN_1678323	6.245543
AATBC	AATBC	284837	5220427	ILMN_1756131	104.8073
AATF	AATF	26574	6020372	ILMN_1703743	332.1674
AATK	AATK	9625	7400300	ILMN_1699334	103.2114
ABAT	ABAT	18	1230592	ILMN_1805104	16.95941
ABCA1	ABCA1	19	4060358	ILMN_1766054	967.4985
ABCA10	ABCA10	10349	3190541	ILMN_1753388	7.120396
ABCA11P	ABCA11P	79963	2320403	ILMN_2232084	3.19703
ABCA12	ABCA12	26154	4900711	ILMN_2361400	-9.959236
ABCA13	ABCA13	154664	1780537	ILMN_1704579	-13.01447
ABCA17P	ABCA17P	650655	1690110	ILMN_1823245	-1.904505
ABCA2	ABCA2	20	2320243	ILMN_1747627	139.9886
ABCA3	ABCA3	21	430402	ILMN_1758523	17.40941
ABCA4	ABCA4	24	6650504	ILMN_1794965	-4.624393
ABCA5	ABCA5	23461	7650253	ILMN_1749001	0.3302489
ABCA6	ABCA6	23460	6940519	ILMN_1795507	5.861162
ABCA7	ABCA7	10347	2570100	ILMN_1743205	318.4702
ABCA8	ABCA8	10351	2710392	ILMN_1796801	16.91651
ABCA9	ABCA9	10350	4730370	ILMN_1720501	17.21552
ABCB1	ABCB1	5243	1230048	ILMN_1812070	50.83586
ABCB10	ABCB10	23456	4810048	ILMN_1665730	220.5643
ABCB11	ABCB11	8647	7330332	ILMN_2232066	3.793386
ABCB4	ABCB4	5244	1070594	ILMN_1767349	14.90895
ABCB5	ABCB5	340273	650376	ILMN_1658257	-14.9684
ABCB6	ABCB6	10058	2810367	ILMN_2193980	83.86851
ABCB7	ABCB7	22	5700286	ILMN_1687840	170.1948
ABCB8	ABCB8	11194	3990592	ILMN_2102422	6.110334
ABCB9	ABCB9	23457	6900241	ILMN_2343048	178.8966
ABCC1	ABCC1	4363	1500187	ILMN_1802404	10.46003
ABCC10	ABCC10	89845	650646	ILMN_1776119	47.93109
ABCC11	ABCC11	85320	2600541	ILMN_1732140	13.98978
ABCC12	ABCC12	94160	6290348	ILMN_1762093	-4.611083
ABCC13	ABCC13	150000	4780553	ILMN_1774344	12.32759
ABCC2	ABCC2	1244	2230746	ILMN_1676278	2.72331
ABCC3	ABCC3	8714	270615	ILMN_1677814	134.1994
ABCC4	ABCC4	10257	2450201	ILMN_1788457	72.31248
ABCC5	ABCC5	10057	6580553	ILMN_1706531	146.8507
ABCC6	ABCC6	368	7160603	ILMN_2406654	12.83731
ABCC6P1	ABCC6P1	653190	4050386	ILMN_3246902	5.17094
ABCC6P2	ABCC6P2	730013	1340162	ILMN_3244070	25.91893
ABCC8	ABCC8	6833	4850086	ILMN_1767129	-16.15525
ABCC9	ABCC9	10060	6650315	ILMN_3242428	20.05253
ABCD1	ABCD1	215	4890609	ILMN_1772189	74.70371
ABCD2	ABCD2	225	2940709	ILMN_1652959	1.824658
ABCD3	ABCD3	5825	6020743	ILMN_3237656	10055.7
ABCD4	ABCD4	5826	7200102	ILMN_1651501	4.089303
ABCE1	ABCE1	6059	1090543	ILMN_2330267	185.019
ABCF1	ABCF1	23	7380113	ILMN_1763875	927.6934
ABCF2	ABCF2	10061	5420142	ILMN_1781999	92.89843
ABCF3	ABCF3	55324	4560689	ILMN_1810085	59.50852
ABCG1	ABCG1	9619	6060377	ILMN_1794782	251.4682
ABCG2	ABCG2	9429	7160220	ILMN_1789641	-15.20546
ABCG4	ABCG4	64137	3360390	ILMN_1779470	22.58937
ABCG5	ABCG5	64240	6290575	ILMN_1716592	6.650417
ABCG8	ABCG8	64241	2690367	ILMN_1680309	6.407781
ABHD1	ABHD1	84696	620113	ILMN_1743371	1.835686
ABHD10	ABHD10	55347	1300328	ILMN_1770031	184.2449
ABHD11	ABHD11	83451	1940068	ILMN_2338268	21.18789
ABHD11-AS1	ABHD11-AS1	171022	6590070	ILMN_1821139	4.891346
ABHD12	ABHD12	26090	7610382	ILMN_2245305	88.7821
