SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
A1BG-AS1	A1BG-AS1	503538	5570010	ILMN_3234888	4.35847
A1CF	A1CF	29974	2650615	ILMN_1806310	4.112683
A2M	A2M	2	2370438	ILMN_1745607	-14.02717
A2ML1	A2ML1	144568	4050154	ILMN_2136495	-15.28435
A4GALT	A4GALT	53947	3610072	ILMN_1735045	-7.330422
A4GNT	A4GNT	51146	6480136	ILMN_1680754	28.30576
AAAS	AAAS	8086	60689	ILMN_1755321	21.476595
AACS	AACS	65985	1580504	ILMN_1698554	28.238325
AACSP1	AACSP1	729522	4570132	ILMN_1814092	38.492605
AADAC	AADAC	13	6200619	ILMN_1760414	2.9325115
AADACL2	AADACL2	344752	1780408	ILMN_1752884	0.2500472
AADACL3	AADACL3	126767	6860546	ILMN_1812867	7.5579595
AADACL4	AADACL4	343066	2600309	ILMN_1668851	0.13879419
AADACP1	AADACP1	201651	5550494	ILMN_3281480	7.9879575
AADAT	AADAT	51166	6270181	ILMN_1726986	19.7387
AAGAB	AAGAB	79719	5490500	ILMN_3237396	220.8974
AAK1	AAK1	22848	1170332	ILMN_1688755	251.61985
AAMDC	AAMDC	28971	3310228	ILMN_1779163	107.8117
AAMP	AAMP	14	4610048	ILMN_1653165	179.62385
AANAT	AANAT	15	1070703	ILMN_1729835	-16.929805
AAR2	AAR2	25980	5130129	ILMN_1721225	478.2263
AARD	AARD	441376	1980349	ILMN_2159290	-5.891541
AARS1	AARS1	16	290603	ILMN_1662364	1009.5695
AARS2	AARS2	57505	540255	ILMN_1674698	137.3981
AASDH	AASDH	132949	4150561	ILMN_1784269	100.53054
AASDHPPT	AASDHPPT	60496	7040717	ILMN_2096191	219.23935
AASS	AASS	10157	1500465	ILMN_2157219	6.0314865
AATBC	AATBC	284837	5220427	ILMN_1756131	89.595035
AATF	AATF	26574	6020372	ILMN_1703743	342.76165
AATK	AATK	9625	7400300	ILMN_1699334	103.30585
ABAT	ABAT	18	1230592	ILMN_1805104	16.70926
ABCA1	ABCA1	19	4060358	ILMN_1766054	1220.8495
ABCA10	ABCA10	10349	3190541	ILMN_1753388	7.3121135
ABCA11P	ABCA11P	79963	2320403	ILMN_2232084	2.529574
ABCA12	ABCA12	26154	4900711	ILMN_2361400	-9.500928
ABCA13	ABCA13	154664	1780537	ILMN_1704579	-10.20118
ABCA17P	ABCA17P	650655	1690110	ILMN_1823245	-1.6371635
ABCA2	ABCA2	20	2320243	ILMN_1747627	147.0527
ABCA3	ABCA3	21	430402	ILMN_1758523	14.67814
ABCA4	ABCA4	24	6650504	ILMN_1794965	-4.1875995
ABCA5	ABCA5	23461	7650253	ILMN_1749001	-1.6559345
ABCA6	ABCA6	23460	6940519	ILMN_1795507	6.4900935
ABCA7	ABCA7	10347	2570100	ILMN_1743205	327.2649
ABCA8	ABCA8	10351	2710392	ILMN_1796801	17.18214
ABCA9	ABCA9	10350	4730370	ILMN_1720501	16.98915
ABCB1	ABCB1	5243	1230048	ILMN_1812070	40.290995
ABCB10	ABCB10	23456	4810048	ILMN_1665730	230.55195
ABCB11	ABCB11	8647	7330332	ILMN_2232066	3.261636
ABCB4	ABCB4	5244	1070594	ILMN_1767349	13.563955
ABCB5	ABCB5	340273	650376	ILMN_1658257	-15.44267
ABCB6	ABCB6	10058	2810367	ILMN_2193980	89.216305
ABCB7	ABCB7	22	5700286	ILMN_1687840	161.745
ABCB8	ABCB8	11194	3990592	ILMN_2102422	6.009858
ABCB9	ABCB9	23457	6900241	ILMN_2343048	185.5639
ABCC1	ABCC1	4363	1500187	ILMN_1802404	10.42233
ABCC10	ABCC10	89845	650646	ILMN_1776119	52.916645
ABCC11	ABCC11	85320	2600541	ILMN_1732140	14.071325
ABCC12	ABCC12	94160	6290348	ILMN_1762093	-4.391285
