final_module_id	ENTREZID	SYMBOL	final_module_label	module_direction	locked_entrez_present	any_ensembl_mapping	matched_by_ensembl	matched_by_symbol	matched_ensembl_ids	all_mapped_ensembl_ids
VIR_M2	10009	ZBTB33	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000177485	ENSG00000177485
VIR_M1a	10010	TANK	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000136560	ENSG00000136560
VIR_M1b	10010	TANK	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000136560	ENSG00000136560
VIR_M2	100132285	KIR2DS2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	FALSE	FALSE	""	ENSG00000274438;ENSG00000274518;ENSG00000275253;ENSG00000275452;ENSG00000275583;ENSG00000275735;ENSG00000275737;ENSG00000276139;ENSG00000276258;ENSG00000276425;ENSG00000277885;ENSG00000278152;ENSG00000278300
BACT_M1	100288805	HYDIN2	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	TRUE	FALSE	FALSE	FALSE	""	""
VIR_M1a	100507436	MICA	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000204520	ENSG00000183214;ENSG00000204520;ENSG00000231225;ENSG00000233051;ENSG00000235233
VIR_M2	100507436	MICA	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000204520	ENSG00000183214;ENSG00000204520;ENSG00000231225;ENSG00000233051;ENSG00000235233
VIR_M1a	10146	G3BP1	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000145907	ENSG00000145907
VIR_M1a	1021	CDK6	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000105810	ENSG00000105810
VIR_M1a	10219	KLRG1	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000139187	ENSG00000139187
VIR_M2	10225	CD96	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000153283	ENSG00000153283
VIR_M1a	10346	TRIM22	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000132274	ENSG00000132274
VIR_M2	10346	TRIM22	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000132274	ENSG00000132274
VIR_M1a	10379	IRF9	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000213928	ENSG00000213928;ENSG00000285048
VIR_M2	10385	BTN2A2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000124508	ENSG00000124508
VIR_M1a	10410	IFITM3	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000142089	ENSG00000142089
VIR_M1b	10410	IFITM3	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000142089	ENSG00000142089
