ENTREZID	final_module_id	final_module_label	final_module_status	module_direction	module_direction_sign	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	primary_scoring_weight	optional_abs_logFC_weight	scoring_role	primary_scoring_rule	optional_sensitivity_rule	mapped_SYMBOL	mapped_ENSEMBL	ensembl_available_in_GSE161731	symbol_available_in_GSE161731
10009	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	ZBTB33		zinc finger and BTB domain containing 33		-0.798725373819602	0.00152380466093534	-0.983131741482026	-0.590763027810752	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.907349236577224	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	ZBTB33	ENSG00000177485	TRUE	FALSE
10010	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	TANK		TRAF family member associated NFKB activator		-0.928694759982496	2.78409072797379e-05	-1.452999459584	-0.25156562201978	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.933646170135697	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	TANK	ENSG00000136560	TRUE	FALSE
10010	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	primary_discovery_submodule	higher_in_viral	-1	TANK		TRAF family member associated NFKB activator		-0.928694759982496	2.78409072797379e-05	-1.452999459584	-0.25156562201978	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.654855237934649	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	TANK	ENSG00000136560	TRUE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000277885	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000275452	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000276258	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000278152	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000275737	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000276139	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000278300	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000274438	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000275253	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000275735	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000274518	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000276425	FALSE	FALSE
100132285	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	KIR2DS2		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2		-1.13281605205144	6.21968665397603e-05	-0.793583823851235	-1.7046334715715	Tier_1_cross_site_FDR05_direction_concordant	1	1.28687508085032	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KIR2DS2	ENSG00000275583	FALSE	FALSE
100288805	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	HYDIN2		HYDIN axonemal central pair apparatus protein 2 (pseudogene)		0.796874082028632	0.0188338150260526	1.16728575253985	0.362084937938863	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.00794550567351	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score			FALSE	FALSE
100507436	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.514772141520015	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000204520	TRUE	FALSE
100507436	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.514772141520015	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000235233	FALSE	FALSE
100507436	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.514772141520015	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000233051	FALSE	FALSE
100507436	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.514772141520015	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000231225	FALSE	FALSE
100507436	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.514772141520015	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000183214	FALSE	FALSE
100507436	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.58167809274434	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000204520	TRUE	FALSE
100507436	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.58167809274434	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000235233	FALSE	FALSE
100507436	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.58167809274434	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000233051	FALSE	FALSE
