GO	TERM	query_genes	universe_genes	term_genes_in_universe	overlap_genes	p_value	overlap_gene_ids	p_adj_BH	gene_ratio	background_ratio	enrichment_ratio	direction_set	overlap_symbols
GO:0002181	cytoplasmic translation	1479	9100	24	18	2.86770946971536e-10	51121;6133;6138;6139;6154;6155;6159;6160;6164;6175;6189;6201;6203;6210;6229;6232;7311;9349	3.38676488373384e-07	0.0121703853955375	0.00263736263736264	4.61460446247465	bacterial_higher_site_aware_eligible	RPL26L1;RPL9;RPL15;RPL17;RPL26;RPL27;RPL29;RPL31;RPL34;RPLP0;RPS3A;RPS7;RPS9;RPS15A;RPS24;RPS27;UBA52;RPL23
GO:0006412	translation	1479	9100	57	23	1.15079274699679e-05	100288805;1979;28998;29093;51023;6133;6138;6139;6154;6155;6159;6160;6164;6175;6189;6192;6201;6203;6210;6229;6232;64963;9349	0.00668877450834312	0.0155510480054091	0.00626373626373626	2.48271117279338	bacterial_higher_site_aware_eligible	HYDIN2;EIF4EBP2;MRPL13;MRPL22;MRPS18C;RPL9;RPL15;RPL17;RPL26;RPL27;RPL29;RPL31;RPL34;RPLP0;RPS3A;RPS4Y1;RPS7;RPS9;RPS15A;RPS24;RPS27;MRPS11;RPL23
GO:0006749	glutathione metabolic process	1479	9100	18	11	2.10916965964174e-05	10550;23657;26873;2936;2941;2948;2949;2954;3029;51022;6648	0.00668877450834312	0.00743745774171738	0.00197802197802198	3.7600480805349	bacterial_higher_site_aware_eligible	ARL6IP5;SLC7A11;OPLAH;GSR;GSTA4;GSTM4;GSTM5;GSTZ1;HAGH;GLRX2;SOD2
GO:0032981	mitochondrial respiratory chain complex I assembly	1479	9100	21	12	2.26546130680546e-05	137682;25880;284184;4696;4707;4709;4718;4724;51103;55471;84233;91942	0.00668877450834312	0.00811359026369168	0.00230769230769231	3.5158891142664	bacterial_higher_site_aware_eligible	NDUFAF6;TMEM186;NDUFAF8;NDUFA3;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFAF1;NDUFAF7;TMEM126A;NDUFAF2
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	1479	9100	13	9	2.96003740808074e-05	4696;4707;4709;4718;4724;4731;498;521;9551	0.0069916083578867	0.00608519269776876	0.00142857142857143	4.25963488843813	bacterial_higher_site_aware_eligible	NDUFA3;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;ATP5F1A;ATP5ME;ATP5MF
GO:0009060	aerobic respiration	1479	9100	16	10	3.88332249322631e-05	113115;4191;4696;4707;4709;4718;4724;4731;847;9016	0.00764367310750045	0.00676132521974307	0.00175824175824176	3.84550371872887	bacterial_higher_site_aware_eligible	MTFR2;MDH2;NDUFA3;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;CAT;SLC25A14
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	1479	9100	12	8	0.000127727861894537	4696;4697;4707;4709;4718;4724;4731;51103	0.0215495149853497	0.00540906017579446	0.00131868131868132	4.1018706333108	bacterial_higher_site_aware_eligible	NDUFA3;NDUFA4;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;NDUFAF1
GO:0006096	glycolytic process	1479	9100	11	7	0.000531614913185829	2027;226;2821;5208;5224;5236;8870	0.0784796515590579	0.00473292765382015	0.00120879120879121	3.9154219681603	bacterial_higher_site_aware_eligible	ENO3;ALDOA;GPI;PFKFB2;PGAM2;PGM1;IER3
GO:0019731	antibacterial humoral response	1479	9100	21	10	0.000780647568652318	1667;1668;1669;4057;5266;6590;7018;728358;820;85236	0.102438308730932	0.00676132521974307	0.00230769230769231	2.929907595222	bacterial_higher_site_aware_eligible	DEFA1;DEFA3;DEFA4;LTF;PI3;SLPI;TF;DEFA1B;CAMP;H2BC12
GO:0050832	defense response to fungus	1479	9100	15	8	0.00104773893437466	1667;1668;1669;23765;6279;6280;6283;728358	0.120392937048147	0.00540906017579446	0.00164835164835165	3.28149650664864	bacterial_higher_site_aware_eligible	DEFA1;DEFA3;DEFA4;IL17RA;S100A8;S100A9;S100A12;DEFA1B
