rna_id	group	metadata_status	caution_flags	library_size	detected_genes_count_gt0	norm.factors	PC1	PC2	library_size_outlier_iqr	detected_genes_outlier_iqr	norm_factor_outlier_iqr	any_qc_outlier_iqr	caution_flagged_metadata
00943	non_covid_viral	mapped_to_sample_key	none	46205680	20361	0.955668617264219	-14.9454382556923	50.4131221739182	FALSE	FALSE	FALSE	FALSE	FALSE
105791	non_covid_viral	mapped_to_sample_key	none	28647415	24540	1.04013034302125	-23.8777722114802	4.89457498261002	FALSE	FALSE	FALSE	FALSE	FALSE
105824	non_covid_viral	mapped_to_sample_key	none	41811884	16213	1.01359499483969	3.84197132916967	3.17440648567709	FALSE	FALSE	FALSE	FALSE	FALSE
105834	non_covid_viral	mapped_to_sample_key	none	46207409	23104	0.861565538136451	-23.4306027400402	20.1909020460909	FALSE	FALSE	FALSE	FALSE	FALSE
105841	non_covid_viral	mapped_to_sample_key	none	61082057	23104	1.10406648192434	-24.3051184467878	34.1015030228794	FALSE	FALSE	FALSE	FALSE	FALSE
105842	non_covid_viral	mapped_to_sample_key	none	52756032	18031	0.980022882053763	-5.33793455498907	9.08516304088873	FALSE	FALSE	FALSE	FALSE	FALSE
105847	non_covid_viral	mapped_to_sample_key	none	52664859	18622	1.26091622764499	-17.1330874783469	55.1631845734557	FALSE	FALSE	FALSE	FALSE	FALSE
105848	non_covid_viral	mapped_to_sample_key	none	38408223	14453	0.99032779202913	29.4026440677267	15.3280382803489	FALSE	FALSE	FALSE	FALSE	FALSE
105853	non_covid_viral	mapped_to_sample_key	none	51179077	22573	1.0945578849924	-26.2623094641337	35.5401873967778	FALSE	FALSE	FALSE	FALSE	FALSE
105861	non_covid_viral	mapped_to_sample_key	none	47220758	17656	0.669086424576679	4.5446917202033	-38.2773578177077	FALSE	FALSE	FALSE	FALSE	FALSE
105920	non_covid_viral	mapped_to_sample_key	none	53276313	23714	1.10416665420891	-25.0322110316383	40.2979624838622	FALSE	FALSE	FALSE	FALSE	FALSE
105927	non_covid_viral	mapped_to_sample_key	none	67794430	18446	0.848875766578134	-6.51407982172582	0.145581075967492	FALSE	FALSE	FALSE	FALSE	FALSE
105929	non_covid_viral	mapped_to_sample_key	none	50213182	19982	0.601374790569879	-0.518590119281595	13.0132303951251	FALSE	FALSE	FALSE	FALSE	FALSE
234301	non_covid_viral	mapped_to_sample_key	none	55646663	22535	1.14471931449065	-27.9796905865057	6.43290145475084	FALSE	FALSE	FALSE	FALSE	FALSE
234326	non_covid_viral	mapped_to_sample_key	none	40821453	20300	1.16372228312	-21.9466947452052	36.9700703205218	FALSE	FALSE	FALSE	FALSE	FALSE
234330	non_covid_viral	mapped_to_sample_key	none	62653611	18208	0.986438654951963	-7.78011854693134	31.959813955377	FALSE	FALSE	FALSE	FALSE	FALSE
234376	non_covid_viral	mapped_to_sample_key	none	64543800	18417	1.08795449185424	-10.1583628674434	23.1621319143948	FALSE	FALSE	FALSE	FALSE	FALSE
234377	non_covid_viral	mapped_to_sample_key	none	41763770	16441	1.03871064516876	6.24691781453084	50.1521589658341	FALSE	FALSE	FALSE	FALSE	FALSE
234432	non_covid_viral	mapped_to_sample_key	none	36945135	16459	0.891537592665546	9.29775630333772	5.60191359342077	FALSE	FALSE	FALSE	FALSE	FALSE
234435	non_covid_viral	mapped_to_sample_key	none	54000246	20637	0.865942195592659	-13.3536050735034	16.659449493708	FALSE	FALSE	FALSE	FALSE	FALSE
434294	non_covid_viral	mapped_to_sample_key	none	53223902	25234	1.05033028151666	-27.9437226079036	16.1434744698306	FALSE	FALSE	FALSE	FALSE	FALSE
434316	non_covid_viral	mapped_to_sample_key	none	57165534	23818	1.07441402206755	-27.4372735997079	27.7741121582567	FALSE	FALSE	FALSE	FALSE	FALSE
