rna_id	group	metadata_status	caution_flags	library_size	detected_genes_count_gt0
00943	non_covid_viral	mapped_to_sample_key	none	46205680	20361
105791	non_covid_viral	mapped_to_sample_key	none	28647415	24540
105824	non_covid_viral	mapped_to_sample_key	none	41811884	16213
105834	non_covid_viral	mapped_to_sample_key	none	46207409	23104
105841	non_covid_viral	mapped_to_sample_key	none	61082057	23104
105842	non_covid_viral	mapped_to_sample_key	none	52756032	18031
105847	non_covid_viral	mapped_to_sample_key	none	52664859	18622
105848	non_covid_viral	mapped_to_sample_key	none	38408223	14453
105853	non_covid_viral	mapped_to_sample_key	none	51179077	22573
105861	non_covid_viral	mapped_to_sample_key	none	47220758	17656
105920	non_covid_viral	mapped_to_sample_key	none	53276313	23714
105927	non_covid_viral	mapped_to_sample_key	none	67794430	18446
105929	non_covid_viral	mapped_to_sample_key	none	50213182	19982
234301	non_covid_viral	mapped_to_sample_key	none	55646663	22535
234326	non_covid_viral	mapped_to_sample_key	none	40821453	20300
234330	non_covid_viral	mapped_to_sample_key	none	62653611	18208
234376	non_covid_viral	mapped_to_sample_key	none	64543800	18417
234377	non_covid_viral	mapped_to_sample_key	none	41763770	16441
234432	non_covid_viral	mapped_to_sample_key	none	36945135	16459
234435	non_covid_viral	mapped_to_sample_key	none	54000246	20637
434294	non_covid_viral	mapped_to_sample_key	none	53223902	25234
434316	non_covid_viral	mapped_to_sample_key	none	57165534	23818
434323	non_covid_viral	mapped_to_sample_key	none	62366818	14715
434325	non_covid_viral	mapped_to_sample_key	none	130001160	17025
434330	non_covid_viral	mapped_to_sample_key	none	32429665	23034
434333	non_covid_viral	mapped_to_sample_key	none	57744837	23654
434335	non_covid_viral	mapped_to_sample_key	none	42697511	22543
434393	non_covid_viral	mapped_to_sample_key	none	53565193	21128
434399	non_covid_viral	mapped_to_sample_key	none	53471516	21901
434482	non_covid_viral	mapped_to_counts_key_only	counts_key_only_not_in_sample_key	40986006	11320
434486	non_covid_viral	mapped_to_sample_key	none	49141014	23450
434517	non_covid_viral	mapped_to_sample_key	none	50965258	21634
434518	non_covid_viral	mapped_to_sample_key	none	56728525	20198
434532	non_covid_viral	mapped_to_sample_key	none	43367078	21966
434537	non_covid_viral	mapped_to_sample_key	none	51114778	22250
434557	non_covid_viral	mapped_to_sample_key	none	52987709	21132
434567	non_covid_viral	mapped_to_sample_key	none	46724753	23231
434570	non_covid_viral	mapped_to_sample_key	none	48457216	22629
434596	non_covid_viral	mapped_to_sample_key	none	16320748	26834
434597	non_covid_viral	mapped_to_sample_key	none	46090447	17038
434602	non_covid_viral	mapped_to_sample_key	none	46587103	26991
434619	non_covid_viral	mapped_to_sample_key	none	44264885	22050
434735	non_covid_viral	mapped_to_sample_key	none	43299067	13552
434740	non_covid_viral	mapped_to_sample_key	none	54715374	21661
434741	non_covid_viral	mapped_to_counts_key_only	counts_key_only_not_in_sample_key	1632403	12621
434756	non_covid_viral	mapped_to_sample_key	none	61427755	23213
434757	non_covid_viral	mapped_to_sample_key	none	40713763	15699
434766	non_covid_viral	mapped_to_sample_key	none	38642809	20335
434768	non_covid_viral	mapped_to_sample_key	none	40238248	21191
434777	non_covid_viral	mapped_to_sample_key	none	20302169	22370
