V1	V2	N
Sri_Lanka	Coxiella_burnetii	3
United_States	Coxiella_burnetii	0
Sri_Lanka	Dengue	43
United_States	Dengue	0
Sri_Lanka	Enterobacter	0
United_States	Enterobacter	17
Sri_Lanka	Influenza_A_B	38
United_States	Influenza_A_B	29
Sri_Lanka	Leptospira	30
United_States	Leptospira	0
Sri_Lanka	RespVirus_other	0
United_States	RespVirus_other	13
Sri_Lanka	Rickettsia	27
United_States	Rickettsia	0
Sri_Lanka	Staphylococcus	0
United_States	Staphylococcus	10
Sri_Lanka	Streptococcus	0
United_States	Streptococcus	14
