normalized_title_label	gse72810_geo_accession	gse72810_title	gse73461_geo_accession	gse73461_title	exact_full_title_match	accession_match	interpretation
control01	GSM2126114	Control_01 [validation]	GSM1894312	Control_01	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control02	GSM2126115	Control_02 [validation]	GSM1894313	Control_02	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control03	GSM2126116	Control_03 [validation]	GSM1894314	Control_03	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control04	GSM2126117	Control_04 [validation]	GSM1894315	Control_04	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control05	GSM2126118	Control_05 [validation]	GSM1894316	Control_05	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control06	GSM2126119	Control_06 [validation]	GSM1894317	Control_06	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control07	GSM2126120	Control_07 [validation]	GSM1894318	Control_07	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control08	GSM2126121	Control_08 [validation]	GSM1894319	Control_08	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control09	GSM2126122	Control_09 [validation]	GSM1894320	Control_09	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control10	GSM2126123	Control_10 [validation]	GSM1894321	Control_10	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control11	GSM2126124	Control_11 [validation]	GSM1894322	Control_11	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control12	GSM2126125	Control_12 [validation]	GSM1894323	Control_12	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control13	GSM2126126	Control_13 [validation]	GSM1894324	Control_13	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control14	GSM2126127	Control_14 [validation]	GSM1894325	Control_14	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control15	GSM2126128	Control_15 [validation]	GSM1894326	Control_15	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
control16	GSM2126129	Control_16 [validation]	GSM1894327	Control_16	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial01	GSM1872657	Definite Bacterial_01 [validation]	GSM1894367	Definite Bacterial_01	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial02	GSM1872658	Definite Bacterial_02 [validation]	GSM1894368	Definite Bacterial_02	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial03	GSM1872659	Definite Bacterial_03 [validation]	GSM1894369	Definite Bacterial_03	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial04	GSM1872660	Definite Bacterial_04 [validation]	GSM1894370	Definite Bacterial_04	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial05	GSM1872661	Definite Bacterial_05 [validation]	GSM1894371	Definite Bacterial_05	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial06	GSM1872662	Definite Bacterial_06 [validation]	GSM1894372	Definite Bacterial_06	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial07	GSM1872663	Definite Bacterial_07 [validation]	GSM1894373	Definite Bacterial_07	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial08	GSM1872664	Definite Bacterial_08 [validation]	GSM1894374	Definite Bacterial_08	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial09	GSM1872665	Definite Bacterial_09 [validation]	GSM1894375	Definite Bacterial_09	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial10	GSM1872666	Definite Bacterial_10 [validation]	GSM1894376	Definite Bacterial_10	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial11	GSM1872667	Definite Bacterial_11 [validation]	GSM1894377	Definite Bacterial_11	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial12	GSM1872668	Definite Bacterial_12 [validation]	GSM1894378	Definite Bacterial_12	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial13	GSM1872669	Definite Bacterial_13 [validation]	GSM1894379	Definite Bacterial_13	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial14	GSM1872670	Definite Bacterial_14 [validation]	GSM1894380	Definite Bacterial_14	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial15	GSM1872671	Definite Bacterial_15 [validation]	GSM1894381	Definite Bacterial_15	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial16	GSM1872672	Definite Bacterial_16 [validation]	GSM1894382	Definite Bacterial_16	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial17	GSM1872673	Definite Bacterial_17 [validation]	GSM1894383	Definite Bacterial_17	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial18	GSM1872674	Definite Bacterial_18 [validation]	GSM1894384	Definite Bacterial_18	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial19	GSM1872675	Definite Bacterial_19 [validation]	GSM1894385	Definite Bacterial_19	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial20	GSM1872676	Definite Bacterial_20 [validation]	GSM1894386	Definite Bacterial_20	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial21	GSM1872677	Definite Bacterial_21 [validation]	GSM1894387	Definite Bacterial_21	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial22	GSM1872678	Definite Bacterial_22 [validation]	GSM1894388	Definite Bacterial_22	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definitebacterial23	GSM1872679	Definite Bacterial_23 [validation]	GSM1894389	Definite Bacterial_23	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral01	GSM1872680	Definite Viral_01 [validation]	GSM1894419	Definite Viral_01	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral02	GSM1872681	Definite Viral_02 [validation]	GSM1894420	Definite Viral_02	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral03	GSM1872682	Definite Viral_03 [validation]	GSM1894421	Definite Viral_03	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral04	GSM1872683	Definite Viral_04 [validation]	GSM1894422	Definite Viral_04	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral05	GSM1872684	Definite Viral_05 [validation]	GSM1894423	Definite Viral_05	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral06	GSM1872685	Definite Viral_06 [validation]	GSM1894424	Definite Viral_06	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral07	GSM1872686	Definite Viral_07 [validation]	GSM1894425	Definite Viral_07	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral08	GSM1872687	Definite Viral_08 [validation]	GSM1894426	Definite Viral_08	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral09	GSM1872688	Definite Viral_09 [validation]	GSM1894427	Definite Viral_09	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral10	GSM1872689	Definite Viral_10 [validation]	GSM1894428	Definite Viral_10	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral11	GSM1872690	Definite Viral_11 [validation]	GSM1894429	Definite Viral_11	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral12	GSM1872691	Definite Viral_12 [validation]	GSM1894430	Definite Viral_12	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral13	GSM1872692	Definite Viral_13 [validation]	GSM1894431	Definite Viral_13	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral14	GSM1872693	Definite Viral_14 [validation]	GSM1894432	Definite Viral_14	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral15	GSM1872694	Definite Viral_15 [validation]	GSM1894433	Definite Viral_15	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral16	GSM1872695	Definite Viral_16 [validation]	GSM1894434	Definite Viral_16	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral17	GSM1872696	Definite Viral_17 [validation]	GSM1894435	Definite Viral_17	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral18	GSM1872697	Definite Viral_18 [validation]	GSM1894436	Definite Viral_18	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral19	GSM1872698	Definite Viral_19 [validation]	GSM1894437	Definite Viral_19	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral20	GSM1872699	Definite Viral_20 [validation]	GSM1894438	Definite Viral_20	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral21	GSM1872700	Definite Viral_21 [validation]	GSM1894439	Definite Viral_21	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral22	GSM1872701	Definite Viral_22 [validation]	GSM1894440	Definite Viral_22	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral23	GSM1872702	Definite Viral_23 [validation]	GSM1894441	Definite Viral_23	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral24	GSM1872703	Definite Viral_24 [validation]	GSM1894442	Definite Viral_24	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral25	GSM1872704	Definite Viral_25 [validation]	GSM1894443	Definite Viral_25	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral26	GSM1872705	Definite Viral_26 [validation]	GSM1894444	Definite Viral_26	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral27	GSM1872706	Definite Viral_27 [validation]	GSM1894445	Definite Viral_27	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
definiteviral28	GSM1872707	Definite Viral_28 [validation]	GSM1894446	Definite Viral_28	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown01	GSM1872732	Unknown_01 [validation]	GSM1894675	Unknown_01	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown02	GSM1872733	Unknown_02 [validation]	GSM1894676	Unknown_02	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
unknown03	GSM1872734	Unknown_03 [validation]	GSM1894677	Unknown_03	FALSE	FALSE	Shared normalized descriptive label only; not a participant or accession identifier.
