requested_entrez	requested_symbol	authorized_probe_count	authorized_probe_ids	reference_population	reference_n	reference_mean	reference_sd
57007	ACKR3	2	ILMN_1798360;ILMN_2371458	All 146 GSE72810 samples	146	6.24212076122945	0.199411260576921
59	ACTA2	1	ILMN_1671703	All 146 GSE72810 samples	146	7.8376118709589	0.777914645617953
575	ADGRB1	4	ILMN_1729529;ILMN_1763869;ILMN_1779510;ILMN_1797130	All 146 GSE72810 samples	146	5.88688453139212	0.0649807664552791
326	AIRE	3	ILMN_1670282;ILMN_1791236;ILMN_2261519	All 146 GSE72810 samples	146	7.99049665309589	0.144777348750902
9582	APOBEC3B	1	ILMN_2219466	All 146 GSE72810 samples	146	6.14649124817123	0.281969742780409
200316	APOBEC3F	4	ILMN_1702706;ILMN_1710726;ILMN_2296950;ILMN_2412172	All 146 GSE72810 samples	146	6.7512099890137	0.22332995532861
164668	APOBEC3H	1	ILMN_1664828	All 146 GSE72810 samples	146	6.33830235956849	0.313962306824867
481	ATP1B1	3	ILMN_1658071;ILMN_1730291;ILMN_2407824	All 146 GSE72810 samples	146	6.12379740410274	0.114639117197799
498	ATP5F1A	2	ILMN_1764494;ILMN_2341363	All 146 GSE72810 samples	146	11.108306686726	0.395054318322269
521	ATP5ME	3	ILMN_1703415;ILMN_1726603;ILMN_1772506	All 146 GSE72810 samples	146	7.63041066706621	0.39917840417029
9551	ATP5MF	2	ILMN_2307883;ILMN_2310621	All 146 GSE72810 samples	146	9.32112248851712	0.428402857458954
558	AXL	2	ILMN_1701877;ILMN_2364521	All 146 GSE72810 samples	146	6.02313811714041	0.246357344667653
64343	AZI2	1	ILMN_1733680	All 146 GSE72810 samples	146	6.75400669830822	0.357857475673752
596	BCL2	4	ILMN_1701120;ILMN_1801119;ILMN_2246956;ILMN_2363250	All 146 GSE72810 samples	146	6.621904684125	0.263405862895766
640	BLK	1	ILMN_1668277	All 146 GSE72810 samples	146	8.00989971618493	0.674042581316441
654	BMP6	1	ILMN_1747650	All 146 GSE72810 samples	146	6.38681309345206	0.300883894260552
657	BMPR1A	2	ILMN_1706957;ILMN_2095577	All 146 GSE72810 samples	146	5.98575724768836	0.0796756341736826
665	BNIP3L	2	ILMN_1718961;ILMN_2045419	All 146 GSE72810 samples	146	7.80446374017123	0.990330451375998
11120	BTN2A1	2	ILMN_1783392;ILMN_2364852	All 146 GSE72810 samples	146	7.16747266061986	0.313319348342528
10385	BTN2A2	2	ILMN_1752758;ILMN_2256894	All 146 GSE72810 samples	146	6.13156863031849	0.0964735278208528
54718	BTN2A3P	1	ILMN_1721813	All 146 GSE72810 samples	146	5.80923574770548	0.115766356349582
11119	BTN3A1	2	ILMN_1687888;ILMN_1802708	All 146 GSE72810 samples	146	7.05473112013356	0.34804446418563
717	C2	1	ILMN_1710740	All 146 GSE72810 samples	146	6.28631382688356	0.268040534353127
64170	CARD9	1	ILMN_1712532	All 146 GSE72810 samples	146	7.50884254116438	0.439799107324059
841	CASP8	5	ILMN_1669565;ILMN_1673757;ILMN_1787749;ILMN_1809313;ILMN_2377733	All 146 GSE72810 samples	146	6.25947978235068	0.158702671532194
847	CAT	2	ILMN_1651705;ILMN_2151739	All 146 GSE72810 samples	146	8.50233975206849	0.595428442790586
868	CBLB	1	ILMN_1685580	All 146 GSE72810 samples	146	8.20326484628082	0.641260220920514
56477	CCL28	3	ILMN_1701347;ILMN_1774087;ILMN_2228845	All 146 GSE72810 samples	146	6.11113793014155	0.0741470369933001
6355	CCL8	1	ILMN_1772964	All 146 GSE72810 samples	146	6.49136821865069	1.12081936006417
1230	CCR1	1	ILMN_1678833	All 146 GSE72810 samples	146	8.51279156520548	0.830345990588826
1232	CCR3	2	ILMN_1656684;ILMN_1763322	All 146 GSE72810 samples	146	6.42348344890753	0.408828668173089
1233	CCR4	1	ILMN_2086143	All 146 GSE72810 samples	146	5.93611188350685	0.163535783825483
1234	CCR5	2	ILMN_1653395;ILMN_2145033	All 146 GSE72810 samples	146	5.91556762158219	0.0944681529665852
1235	CCR6	3	ILMN_1690907;ILMN_1759635;ILMN_2387696	All 146 GSE72810 samples	146	8.94830572500913	0.276239736609509
1236	CCR7	1	ILMN_1715131	All 146 GSE72810 samples	146	10.1619044489178	0.912246894446242
10803	CCR9	2	ILMN_1664316;ILMN_2337386	All 146 GSE72810 samples	146	6.09128706258904	0.139023975240492
11126	CD160	1	ILMN_1742001	All 146 GSE72810 samples	146	6.32724193939726	0.383419947109503
8763	CD164	1	ILMN_1783852	All 146 GSE72810 samples	146	6.49293741810274	0.258610173441181
912	CD1D	2	ILMN_1719433;ILMN_1892782	All 146 GSE72810 samples	146	6.8871083707089	0.306491985749177
958	CD40	2	ILMN_1779257;ILMN_2367818	All 146 GSE72810 samples	146	6.32845124313356	0.190770766726875
941	CD80	1	ILMN_1716736	All 146 GSE72810 samples	146	5.94391638138356	0.141066274701504
10225	CD96	2	ILMN_1711573;ILMN_2415786	All 146 GSE72810 samples	146	7.86996737259932	0.658759876554408
1021	CDK6	1	ILMN_1802615	All 146 GSE72810 samples	146	7.21603165808904	0.451990765747573
10462	CLEC10A	3	ILMN_1653166;ILMN_1704797;ILMN_2415303	All 146 GSE72810 samples	146	6.0873686690411	0.15161952953559
1240	CMKLR1	1	ILMN_1673030	All 146 GSE72810 samples	146	6.2103209994589	0.272903430710194
1380	CR2	3	ILMN_1684724;ILMN_1727753;ILMN_2369666	All 146 GSE72810 samples	146	6.15042134962557	0.140802858015232
58487	CREBZF	1	ILMN_1784847	All 146 GSE72810 samples	146	6.22534161500685	0.149164805354881
1435	CSF1	3	ILMN_1733402;ILMN_1805930;ILMN_2302947	All 146 GSE72810 samples	146	5.83660398761872	0.0776672276289275
1514	CTSL	3	ILMN_1694757;ILMN_1812995;ILMN_2374036	All 146 GSE72810 samples	146	7.03302470590639	0.559021003471938
643	CXCR5	3	ILMN_1699669;ILMN_2337928;ILMN_2337931	All 146 GSE72810 samples	146	6.92786435068722	0.368096487312728
57105	CYSLTR2	1	ILMN_1773204	All 146 GSE72810 samples	146	5.89617682941096	0.142592007735126
10521	DDX17	3	ILMN_1675124;ILMN_1774513;ILMN_2371590	All 146 GSE72810 samples	146	8.55027870714384	0.440546644501573
9188	DDX21	1	ILMN_1735461	All 146 GSE72810 samples	146	7.99404112120548	0.461598607817612
1654	DDX3X	2	ILMN_1728870;ILMN_1794392	All 146 GSE72810 samples	146	7.6729858542911	0.278675171280295
55601	DDX60	1	ILMN_1795181	All 146 GSE72810 samples	146	7.26887634077397	0.835051151742947
1672	DEFB1	1	ILMN_1686573	All 146 GSE72810 samples	146	6.13380502176712	0.602735839585023
79132	DHX58	1	ILMN_1678422	All 146 GSE72810 samples	146	7.28206635492466	0.932260492677946
151636	DTX3L	1	ILMN_1784380	All 146 GSE72810 samples	146	6.48564149389041	0.343581249650892
5610	EIF2AK2	1	ILMN_1706502	All 146 GSE72810 samples	146	10.1747712692466	1.05505766755381
1979	EIF4EBP2	1	ILMN_1728083	All 146 GSE72810 samples	146	8.24339392005479	0.38069934496724
