scoring_representation	z_reference_population	probe_collapse_rule	geo_accession	final_module_id	final_module_label	module_direction	mapped_gene_count	module_score	sample_order	category	projection_role	include_primary_definite	include_expanded_definite_probable	include_all_sample_reference
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872657	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	24	-0.233693999874525	1	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872657	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	20	0.352802825302284	1	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872657	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	125	-0.926730003458137	1	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872657	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	33	-1.06598137719267	1	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872657	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	101	-0.747252433290909	1	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872658	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	24	-0.300902973972018	2	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872658	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	20	0.785189417130287	2	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872658	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	125	-0.386485637304255	2	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872658	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	33	-0.160551866836597	2	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872658	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	101	-0.727544723652134	2	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872659	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	24	-0.906014500227096	3	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872659	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	20	-0.050700454011302	3	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872659	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	125	-0.430913625756402	3	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872659	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	33	-0.669239330345384	3	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872659	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	101	-0.436075921979107	3	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872660	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	24	-0.314978990364358	4	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872660	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	20	-0.0512006397013301	4	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872660	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	125	-0.41596836204204	4	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872660	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	33	-0.55603839914867	4	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872660	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	101	-0.182230793144501	4	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872661	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	24	0.297494005634993	5	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872661	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	20	0.17927703597807	5	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872661	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	125	-0.235124115986159	5	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872661	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	33	-0.557426109717333	5	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
representative_probe_all146_z	All 146 GSE72810 samples	Frozen highest-median Entrez-authorized representative probe	GSM1872661	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	101	-0.0920207717728417	5	Definite Bacterial	primary_bacterial	TRUE	TRUE	TRUE
