probe_id	requested_entrez	requested_symbol	module_memberships	mapping_rules	rescued_by_entrez	candidate_probe_count	platform_symbol	platform_entrez	platform_ilmn_gene	all_sample_mean_expression	all_sample_median_expression	all_sample_expression_variance	all_sample_expression_sd	all_sample_minimum_expression	all_sample_maximum_expression	primary_rule_top_median	primary_rule_median_tie	primary_rule_tie_count	variance_rule_top_variance	variance_rule_tie	variance_rule_tie_count
ILMN_1798360	57007	ACKR3	VIR_M2	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	2	CXCR7	57007	CXCR7	6.43301516713014	6.3785237495	0.0774575808801816	0.278312020725267	5.80558358	7.300496112	6.3785237495	TRUE	1	0.0774575808801816	TRUE	1
ILMN_2371458	57007	ACKR3	VIR_M2	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	2	CXCR7	57007	CXCR7	6.05122635532877	6.090900933	0.0236889798532406	0.153912247249011	5.557185464	6.428124443	6.3785237495	FALSE	1	0.0774575808801816	FALSE	1
ILMN_1671703	59	ACTA2	VIR_M1a	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ACTA2	59	ACTA2	7.8376118709589	7.833043507	0.605151195866906	0.777914645617953	5.905875447	10.01615426	7.833043507	TRUE	1	0.605151195866906	TRUE	1
ILMN_1729529	575	ADGRB1	VIR_M1a	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	4	BAI1	575	BAI1	5.97631615760274	5.995753761	0.0195509202876653	0.13982460544434	5.542579491	6.635404597	5.995753761	TRUE	1	0.0195509202876653	TRUE	1
ILMN_1779510	575	ADGRB1	VIR_M1a	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	4	BAI1	575	BAI1	5.95989892253425	5.9720320095	0.0159056316048894	0.126117530918145	5.509818305	6.290803012	5.995753761	FALSE	1	0.0195509202876653	FALSE	1
ILMN_1797130	575	ADGRB1	VIR_M1a	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	4	BAI1	575	BAI1	5.88987696618493	5.910873292	0.0188223144386944	0.137194440261602	5.427812803	6.149835227	5.995753761	FALSE	1	0.0195509202876653	FALSE	1
ILMN_1763869	575	ADGRB1	VIR_M1a	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	4	BAI1	575	BAI1	5.72144607924658	5.7162770015	0.0150369768684159	0.122625351654606	5.455006952	6.022818434	5.995753761	FALSE	1	0.0195509202876653	FALSE	1
ILMN_2261519	326	AIRE	VIR_M2	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	AIRE	326	AIRE	11.9835745270548	11.991846635	0.148579323601384	0.385459885852451	10.95822964	13.01738108	11.991846635	TRUE	1	0.148579323601384	TRUE	1
ILMN_1670282	326	AIRE	VIR_M2	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	AIRE	326	AIRE	6.04876995865069	6.067009895	0.0184889167490562	0.135973956142551	5.54546607	6.478483488	11.991846635	FALSE	1	0.148579323601384	FALSE	1
ILMN_1791236	326	AIRE	VIR_M2	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	AIRE	326	AIRE	5.93914547358219	5.944815591	0.0121992007364494	0.11044999201652	5.716764108	6.3921448	11.991846635	FALSE	1	0.148579323601384	FALSE	1
