requested_entrez	final_module_id	final_module_label	module_direction	requested_symbol	mapped	mapping_rule	rescued_by_entrez	accepted_probe_count	accepted_probe_ids	selected_probe_id	selected_platform_symbol	selected_platform_entrez	selected_probe_mean_expression	selected_probe_median_expression	selected_probe_expression_variance	selected_probe_expression_sd	median_tie_count	selection_rule	selection_reference_population	representative_probe_frozen
1979	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	EIF4EBP2	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1728083	ILMN_1728083	EIF4EBP2	1979	8.24339392005479	8.183865873	0.144931991258486	0.38069934496724	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
100288805	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	HYDIN2	FALSE	UNMAPPED	FALSE	0	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28998	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	MRPL13	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1671158	ILMN_1671158	MRPL13	28998	6.59497262776712	6.4955842375	0.196393360871961	0.443162905568552	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
29093	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	MRPL22	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1663220;ILMN_1748819	ILMN_1748819	MRPL22	29093	8.01118946328082	7.9696250515	0.425165557116066	0.652047204668547	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
64963	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	MRPS11	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1722905;ILMN_2405915	ILMN_1722905	MRPS11	64963	8.52791306616438	8.528275706	0.0972308775493561	0.311818661323142	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
51023	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	MRPS18C	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1658416;ILMN_2085903	ILMN_1658416	MRPS18C	51023	8.0905744165274	8.043840694	0.595877494538138	0.771931016696529	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6138	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPL15	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1762747	ILMN_1762747	RPL15	6138	10.1089102200685	10.203911525	0.612886875073704	0.782870918525975	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6139	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPL17	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	ILMN_1655422;ILMN_1658283;ILMN_2383097	ILMN_1658283	RPL17	6139	10.6732386882534	10.70698779	1.56633391612538	1.2515326268721	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
9349	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPL23	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1755115	ILMN_1755115	RPL23	9349	8.35240534413699	8.0477174095	1.36644838019392	1.16895182971494	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6154	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPL26	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1731546	ILMN_1731546	RPL26	6154	8.16775834604795	7.8390475835	1.81444256623734	1.34701245957019	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
