cohort_id	analysis_id	analysis_display	final_module_id	final_module_label	expected_direction	bacterial_n	viral_n	rank_biserial_effect	rank_biserial_ci_low	rank_biserial_ci_high	bootstrap_replicates	wilcoxon_q	direction_retained	fdr_significant	rank_biserial_ci_excludes_zero
GSE73461	main_all_projected_reference	GSE73461 mean-z primary	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	52	94	-0.280687397708674	-0.454592880523732	-0.101063829787234	10000	0.00848045641681196	TRUE	TRUE	TRUE
GSE73461	primary_only_reference	GSE73461 primary-only z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	52	94	-0.282733224222586	-0.456628477905074	-0.0973813420621932	10000	0.00795854367320857	TRUE	TRUE	TRUE
GSE73461	main_all_projected_reference	GSE73461 mean-z primary	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	52	94	-0.514320785597381	-0.664903846153846	-0.35392798690671	10000	1.41174910314491e-06	TRUE	TRUE	TRUE
GSE73461	primary_only_reference	GSE73461 primary-only z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	52	94	-0.505728314238953	-0.659584697217676	-0.340834697217676	10000	2.22013891505127e-06	TRUE	TRUE	TRUE
GSE73461	main_all_projected_reference	GSE73461 mean-z primary	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	52	94	-0.47708674304419	-0.632160392798691	-0.30810147299509	10000	4.76890073969705e-06	TRUE	TRUE	TRUE
GSE73461	primary_only_reference	GSE73461 primary-only z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	52	94	-0.467675941080196	-0.622749590834697	-0.300306873977087	10000	7.56725241421415e-06	TRUE	TRUE	TRUE
GSE73461	main_all_projected_reference	GSE73461 mean-z primary	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	52	94	0.240998363338789	0.0507262684124387	0.427168576104746	10000	0.0202162734817903	TRUE	TRUE	TRUE
GSE73461	primary_only_reference	GSE73461 primary-only z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	52	94	0.248363338788871	0.0576923076923077	0.435351882160393	10000	0.0164898402861331	TRUE	TRUE	TRUE
GSE73461	main_all_projected_reference	GSE73461 mean-z primary	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	52	94	0.175531914893617	-0.0106382978723404	0.362111292962357	10000	0.0799243564652853	TRUE	FALSE	FALSE
GSE73461	primary_only_reference	GSE73461 primary-only z-reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	52	94	0.176759410801964	-0.0102291325695582	0.366612111292962	10000	0.077835567767349	TRUE	FALSE	FALSE
GSE72810	main_representative_all146_z_definite	GSE72810 primary	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	23	28	-0.894409937888199	-1	-0.72360248447205	10000	8.76530992431096e-08	TRUE	TRUE	TRUE
GSE72810	primary_only_representative_51_z_definite	GSE72810 primary-only z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	23	28	-0.903726708074534	-1	-0.745419254658384	10000	8.76530992431096e-08	TRUE	TRUE	TRUE
GSE72810	expanded_representative_all146_z_definite_probable	GSE72810 expanded case definition	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	40	35	-0.802857142857143	-0.934285714285714	-0.638571428571429	10000	6.18873354796643e-09	TRUE	TRUE	TRUE
GSE72810	all_probe_mean_all146_z_definite	GSE72810 all-probe mean	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	23	28	-0.885093167701863	-1	-0.711180124223603	10000	1.2038714715157e-07	TRUE	TRUE	TRUE
GSE72810	main_representative_all146_z_definite	GSE72810 primary	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	23	28	-0.897515527950311	-1	-0.745341614906832	10000	8.76530992431096e-08	TRUE	TRUE	TRUE
GSE72810	primary_only_representative_51_z_definite	GSE72810 primary-only z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	23	28	-0.894409937888199	-1	-0.745341614906832	10000	8.76530992431096e-08	TRUE	TRUE	TRUE
GSE72810	expanded_representative_all146_z_definite_probable	GSE72810 expanded case definition	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	40	35	-0.772857142857143	-0.919964285714286	-0.588571428571429	10000	1.57749739623099e-08	TRUE	TRUE	TRUE
GSE72810	all_probe_mean_all146_z_definite	GSE72810 all-probe mean	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	23	28	-0.888198757763975	-1	-0.720496894409938	10000	1.2038714715157e-07	TRUE	TRUE	TRUE
GSE72810	main_representative_all146_z_definite	GSE72810 primary	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	23	28	-0.93167701863354	-1	-0.785714285714286	10000	7.1617876002035e-08	TRUE	TRUE	TRUE
GSE72810	primary_only_representative_51_z_definite	GSE72810 primary-only z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	23	28	-0.934782608695652	-1	-0.795031055900621	10000	6.41157843469859e-08	TRUE	TRUE	TRUE
GSE72810	expanded_representative_all146_z_definite_probable	GSE72810 expanded case definition	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	40	35	-0.808571428571429	-0.952857142857143	-0.627142857142857	10000	6.18873354796643e-09	TRUE	TRUE	TRUE
GSE72810	all_probe_mean_all146_z_definite	GSE72810 all-probe mean	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	23	28	-0.93167701863354	-1	-0.785714285714286	10000	7.1617876002035e-08	TRUE	TRUE	TRUE
GSE72810	main_representative_all146_z_definite	GSE72810 primary	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	23	28	0.518633540372671	0.236024844720497	0.760869565217391	10000	0.00202826134075514	TRUE	TRUE	TRUE
GSE72810	primary_only_representative_51_z_definite	GSE72810 primary-only z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	23	28	0.493788819875777	0.214285714285714	0.745341614906832	10000	0.00337061198245698	TRUE	TRUE	TRUE
GSE72810	expanded_representative_all146_z_definite_probable	GSE72810 expanded case definition	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	40	35	0.385714285714286	0.128571428571429	0.618571428571429	10000	0.00526123224818234	TRUE	TRUE	TRUE
GSE72810	all_probe_mean_all146_z_definite	GSE72810 all-probe mean	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	23	28	0.472049689440994	0.183229813664596	0.72360248447205	10000	0.00516565356196867	TRUE	TRUE	TRUE
GSE72810	main_representative_all146_z_definite	GSE72810 primary	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	23	28	0.288819875776398	-0.0217391304347826	0.571428571428571	10000	0.0799447959260528	TRUE	FALSE	FALSE
