scoring_method	method_key	scoring_population	reference_display	final_module_id	final_module_label	expected_direction	rank_biserial_effect	rank_biserial_ci_low	rank_biserial_ci_high	bootstrap_replicates	wilcoxon_q	direction_retained	fdr_significant	rank_biserial_ci_excludes_zero
Mean-z	Mean_z	main_all_projected_reference	All projected z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	-0.280687397708674	-0.454592880523732	-0.101063829787234	10000	0.00848045641681196	TRUE	TRUE	TRUE
GSVA	GSVA	main_all_projected_reference	All projected z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	-0.0335515548281505	-0.231198854337152	0.161211129296236	10000	0.739088131179405	TRUE	FALSE	FALSE
Mean-z	Mean_z	primary_only_reference	Primary-only z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	-0.282733224222586	-0.456628477905074	-0.0973813420621932	10000	0.00795854367320857	TRUE	TRUE	TRUE
GSVA	GSVA	primary_only_reference	Primary-only z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	-0.114157119476268	-0.303610883797054	0.0826513911620295	10000	0.255066546945129	TRUE	FALSE	FALSE
Mean-z	Mean_z	main_all_projected_reference	All projected z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	-0.514320785597381	-0.664903846153846	-0.35392798690671	10000	1.41174910314491e-06	TRUE	TRUE	TRUE
GSVA	GSVA	main_all_projected_reference	All projected z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	-0.496317512274959	-0.648936170212766	-0.3310147299509	10000	1.20519040008203e-06	TRUE	TRUE	TRUE
Mean-z	Mean_z	primary_only_reference	Primary-only z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	-0.505728314238953	-0.659584697217676	-0.340834697217676	10000	2.22013891505127e-06	TRUE	TRUE	TRUE
GSVA	GSVA	primary_only_reference	Primary-only z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	-0.501636661211129	-0.65671031096563	-0.337551145662848	10000	9.15799699115782e-07	TRUE	TRUE	TRUE
Mean-z	Mean_z	main_all_projected_reference	All projected z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	-0.47708674304419	-0.632160392798691	-0.30810147299509	10000	4.76890073969705e-06	TRUE	TRUE	TRUE
GSVA	GSVA	main_all_projected_reference	All projected z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	-0.638707037643208	-0.765139116202946	-0.492225859247136	10000	4.50883177662468e-10	TRUE	TRUE	TRUE
Mean-z	Mean_z	primary_only_reference	Primary-only z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	-0.467675941080196	-0.622749590834697	-0.300306873977087	10000	7.56725241421415e-06	TRUE	TRUE	TRUE
GSVA	GSVA	primary_only_reference	Primary-only z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	-0.637888707037643	-0.767195171849427	-0.495488952536825	10000	7.07900967453348e-10	TRUE	TRUE	TRUE
Mean-z	Mean_z	main_all_projected_reference	All projected z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	0.240998363338789	0.0507262684124387	0.427168576104746	10000	0.0202162734817903	TRUE	TRUE	TRUE
GSVA	GSVA	main_all_projected_reference	All projected z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	0.653436988543372	0.51759410801964	0.77823240589198	10000	3.41552756535771e-10	TRUE	TRUE	TRUE
Mean-z	Mean_z	primary_only_reference	Primary-only z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	0.248363338788871	0.0576923076923077	0.435351882160393	10000	0.0164898402861331	TRUE	TRUE	TRUE
GSVA	GSVA	primary_only_reference	Primary-only z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	0.631751227495908	0.486497545008183	0.760638297872341	10000	7.07900967453348e-10	TRUE	TRUE	TRUE
Mean-z	Mean_z	main_all_projected_reference	All projected z-reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.175531914893617	-0.0106382978723404	0.362111292962357	10000	0.0799243564652853	TRUE	FALSE	FALSE
GSVA	GSVA	main_all_projected_reference	All projected z-reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.466448445171849	0.299918166939444	0.621941489361702	10000	4.01596928756726e-06	TRUE	TRUE	TRUE
Mean-z	Mean_z	primary_only_reference	Primary-only z-reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.176759410801964	-0.0102291325695582	0.366612111292962	10000	0.077835567767349	TRUE	FALSE	FALSE
GSVA	GSVA	primary_only_reference	Primary-only z-reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.465220949263502	0.302373158756138	0.618657937806874	10000	4.26196286917565e-06	TRUE	TRUE	TRUE
