scoring_population	reference_display	final_module_id	final_module_label	deletion_order	deletion_display	observed_variant_count	expected_variant_count	variant_count_match	expected_direction_preserved_fraction	full_effect_sign_preserved_fraction	minimum_wilcox_p	maximum_wilcox_p	minimum_pearson_correlation_with_full	minimum_spearman_correlation_with_full
main_all_projected_reference	All projected z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	leave_one	Leave one gene	105	105	TRUE	1	1	0.00409351032674769	0.00712270302281264	0.999795548032019	0.999550761046254
main_all_projected_reference	All projected z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	leave_two	Leave two genes	5460	5460	TRUE	1	1	0.00332205751055914	0.0108336292167289	0.999181782925343	0.999003989951234
primary_only_reference	Primary-only z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	leave_one	Leave one gene	105	105	TRUE	1	1	0.00373793021140936	0.00703592882122564	0.999801960538801	0.999398455650564
primary_only_reference	Primary-only z-reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	leave_two	Leave two genes	5460	5460	TRUE	1	1	0.00302823506543404	0.00997697276731454	0.999206492014572	0.99868508574899
main_all_projected_reference	All projected z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	leave_one	Leave one gene	33	33	TRUE	1	1	8.92423832065347e-08	1.43420404914546e-06	0.999040516678135	0.9980109354219
main_all_projected_reference	All projected z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	leave_two	Leave two genes	528	528	TRUE	1	1	3.17926094003079e-08	2.19734202522469e-06	0.996730676515158	0.99549135510566
primary_only_reference	Primary-only z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	leave_one	Leave one gene	33	33	TRUE	1	1	1.33621249069118e-07	1.90756029587882e-06	0.999018085313546	0.997771201064271
primary_only_reference	Primary-only z-reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	leave_two	Leave two genes	528	528	TRUE	1	1	4.713467090969e-08	3.61789583686204e-06	0.996613422069375	0.995141372562251
main_all_projected_reference	All projected z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	leave_one	Leave one gene	128	128	TRUE	1	1	1.32119913602493e-06	3.34272160521148e-06	0.999899897366821	0.999700014777597
main_all_projected_reference	All projected z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	leave_two	Leave two genes	8128	8128	TRUE	1	1	9.89319342676367e-07	4.1525026436006e-06	0.999644688977162	0.99934239692626
primary_only_reference	Primary-only z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	leave_one	Leave one gene	128	128	TRUE	1	1	1.98637685459909e-06	4.57987071947193e-06	0.999900603140008	0.999652955183018
primary_only_reference	Primary-only z-reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	leave_two	Leave two genes	8128	8128	TRUE	1	1	1.37658684896627e-06	6.49478347963716e-06	0.999659729800182	0.99923650140264
main_all_projected_reference	All projected z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	leave_one	Leave one gene	21	21	TRUE	1	1	0.00785221603112061	0.0441493483577251	0.997667377182193	0.995947982857987
main_all_projected_reference	All projected z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	leave_two	Leave two genes	210	210	TRUE	1	1	0.00483632381393288	0.0820584728968168	0.994370655489489	0.991467415398256
primary_only_reference	Primary-only z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	leave_one	Leave one gene	21	21	TRUE	1	1	0.00669824732549628	0.0400205750875846	0.997634140587473	0.994505123731118
primary_only_reference	Primary-only z-reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	leave_two	Leave two genes	210	210	TRUE	1	1	0.00425508906910378	0.0680486299207577	0.994020292486117	0.989746753684941
main_all_projected_reference	All projected z-reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	leave_one	Leave one gene	24	24	TRUE	1	1	0.0416310130896972	0.105156541069169	0.998797711530136	0.996007093246638
main_all_projected_reference	All projected z-reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	leave_two	Leave two genes	276	276	TRUE	1	1	0.0269034763530958	0.138498172802768	0.996860496644585	0.992263927885326
primary_only_reference	Primary-only z-reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	leave_one	Leave one gene	24	24	TRUE	1	1	0.0388477078616404	0.101693330460245	0.998782883307103	0.996463998920305
primary_only_reference	Primary-only z-reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	leave_two	Leave two genes	276	276	TRUE	1	1	0.0271865513692018	0.136334652436779	0.996738097353446	0.99260408934476
