scoring_population	final_module_id	locked_gene_count	available_gene_count	coverage_fraction	available_symbols	missing_symbols
main_all_projected_reference	BACT_M1	25	24	0.96	EIF4EBP2;MRPL13;MRPL22;MRPS11;MRPS18C;RPL15;RPL17;RPL23;RPL26;RPL26L1;RPL27;RPL29;RPL31;RPL34;RPL9;RPLP0;RPS15A;RPS24;RPS27;RPS3A;RPS4Y1;RPS7;RPS9;UBA52	HYDIN2
main_all_projected_reference	BACT_M2	21	21	1	ATP5F1A;ATP5ME;ATP5MF;CAT;MDH2;MTFR2;NDUFA3;NDUFA4;NDUFAF1;NDUFAF2;NDUFAF6;NDUFAF7;NDUFAF8;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;SLC25A14;TMEM126A;TMEM186	none
main_all_projected_reference	VIR_M1a	128	128	1	ACTA2;ADGRB1;APOBEC3B;APOBEC3F;APOBEC3H;ATP1B1;AXL;AZI2;BCL2;BLK;BNIP3L;C2;CARD9;CCL8;CD160;CD1D;CD40;CDK6;CLEC10A;CREBZF;CSF1;DDX17;DDX21;DDX3X;DDX60;DDX60L;DEFB1;DHX58;DTX3L;EIF2AK2;ENDOD1;FOXP3;FRK;G3BP1;G3BP2;GATA3;GBP1;GBP3;HERC5;IFI27;IFI35;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT1B;IFIT2;IFIT3;IFIT5;IFITM3;IL27;IPO7;IRF7;IRF9;ISG15;ISG20;KLRG1;LILRA4;LY9;MALT1;MATR3;MCOLN2;MEFV;MFHAS1;MICA;MID2;MOV10;MX1;MX2;N4BP3;NOD2;NT5C3A;OAS1;OAS2;OAS3;OASL;OTUD4;PARP14;PARP9;PIM2;PLD4;PLPP6;PLSCR1;PMAIP1;PML;POLR3E;PRDM1;PRF1;PRKRA;RIGI;RIPK2;RSAD2;RTP4;SAMD9;SERINC5;SERPING1;SH2D1B;SLFN11;SLFN13;SMPDL3B;SPON2;SRC;STAT1;STAT2;TANK;TICAM2;TLR3;TLR7;TNFSF4;TRAF4;TREX1;TRIM14;TRIM22;TRIM32;TRIM35;TRIM38;TRIM5;TRIM52;TRIM6;UBE2L6;URI1;XPR1;ZBP1;ZBTB1;ZC3HAV1;ZCCHC3;ZMYND11	none
main_all_projected_reference	VIR_M1b	33	33	1	APOBEC3F;AZI2;DDX3X;EIF2AK2;FAM111A;IFI27;IFIH1;IFIT1;IFIT5;IFITM3;IRF7;ISG15;ISG20;MX1;OAS1;OAS2;OAS3;OASL;PLSCR1;PTPN11;RIGI;RIPK2;RSAD2;STAT1;STAT2;TANK;TLR3;TLR7;TOMM70;TREX1;TRIM6;ZBTB20;ZC3HAV1	none
main_all_projected_reference	VIR_M2	106	105	0.990566037735849	ACKR3;AIRE;BMP6;BMPR1A;BTN2A1;BTN2A2;BTN3A1;CARD9;CASP8;CBLB;CCL28;CCR1;CCR2;CCR3;CCR4;CCR5;CCR6;CCR7;CCR9;CCRL2;CD164;CD1D;CD80;CD96;CMKLR1;CR2;CTSL;CXCR5;CYSLTR2;DEFB1;ELF1;ENPP1;ERMAP;ETS1;EXOSC9;FAS;FCGR2B;FCGR3A;FCGR3B;GATA3;GPR183;HIC2;ICOS;ICOSLG;IFI44;IFI44L;IFI6;IFITM3;IGF2BP3;IL15;IL1RN;IL2RA;IL7R;JPH4;KIR2DL1;KIR2DS1;KIR2DS2;KIR2DS5;KIR3DL1;KIR3DS1;LAX1;LIF;MARCHF1;MICA;MS4A2;NOD2;P2RX7;PANX1;PATZ1;PIK3R1;PRKRA;PTGER4;RGS1;RIPK2;SERPINB9;SIRT1;SMAD3;SOCS1;SPON2;TCF12;TCF7;TGFBR3;TLR3;TLR7;TNFRSF4;TNFSF10;TNFSF15;TNFSF4;TNFSF8;TNFSF9;TRIM22;VPREB3;ZBTB1;ZBTB2;ZBTB20;ZBTB25;ZBTB26;ZBTB33;ZBTB37;ZBTB39;ZBTB49;ZBTB6;ZNF131;ZNF134;ZNF572	BTN2A3P
primary_only_reference	BACT_M1	25	24	0.96	EIF4EBP2;MRPL13;MRPL22;MRPS11;MRPS18C;RPL15;RPL17;RPL23;RPL26;RPL26L1;RPL27;RPL29;RPL31;RPL34;RPL9;RPLP0;RPS15A;RPS24;RPS27;RPS3A;RPS4Y1;RPS7;RPS9;UBA52	HYDIN2
primary_only_reference	BACT_M2	21	21	1	ATP5F1A;ATP5ME;ATP5MF;CAT;MDH2;MTFR2;NDUFA3;NDUFA4;NDUFAF1;NDUFAF2;NDUFAF6;NDUFAF7;NDUFAF8;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;SLC25A14;TMEM126A;TMEM186	none
primary_only_reference	VIR_M1a	128	128	1	ACTA2;ADGRB1;APOBEC3B;APOBEC3F;APOBEC3H;ATP1B1;AXL;AZI2;BCL2;BLK;BNIP3L;C2;CARD9;CCL8;CD160;CD1D;CD40;CDK6;CLEC10A;CREBZF;CSF1;DDX17;DDX21;DDX3X;DDX60;DDX60L;DEFB1;DHX58;DTX3L;EIF2AK2;ENDOD1;FOXP3;FRK;G3BP1;G3BP2;GATA3;GBP1;GBP3;HERC5;IFI27;IFI35;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT1B;IFIT2;IFIT3;IFIT5;IFITM3;IL27;IPO7;IRF7;IRF9;ISG15;ISG20;KLRG1;LILRA4;LY9;MALT1;MATR3;MCOLN2;MEFV;MFHAS1;MICA;MID2;MOV10;MX1;MX2;N4BP3;NOD2;NT5C3A;OAS1;OAS2;OAS3;OASL;OTUD4;PARP14;PARP9;PIM2;PLD4;PLPP6;PLSCR1;PMAIP1;PML;POLR3E;PRDM1;PRF1;PRKRA;RIGI;RIPK2;RSAD2;RTP4;SAMD9;SERINC5;SERPING1;SH2D1B;SLFN11;SLFN13;SMPDL3B;SPON2;SRC;STAT1;STAT2;TANK;TICAM2;TLR3;TLR7;TNFSF4;TRAF4;TREX1;TRIM14;TRIM22;TRIM32;TRIM35;TRIM38;TRIM5;TRIM52;TRIM6;UBE2L6;URI1;XPR1;ZBP1;ZBTB1;ZC3HAV1;ZCCHC3;ZMYND11	none
primary_only_reference	VIR_M1b	33	33	1	APOBEC3F;AZI2;DDX3X;EIF2AK2;FAM111A;IFI27;IFIH1;IFIT1;IFIT5;IFITM3;IRF7;ISG15;ISG20;MX1;OAS1;OAS2;OAS3;OASL;PLSCR1;PTPN11;RIGI;RIPK2;RSAD2;STAT1;STAT2;TANK;TLR3;TLR7;TOMM70;TREX1;TRIM6;ZBTB20;ZC3HAV1	none
primary_only_reference	VIR_M2	106	105	0.990566037735849	ACKR3;AIRE;BMP6;BMPR1A;BTN2A1;BTN2A2;BTN3A1;CARD9;CASP8;CBLB;CCL28;CCR1;CCR2;CCR3;CCR4;CCR5;CCR6;CCR7;CCR9;CCRL2;CD164;CD1D;CD80;CD96;CMKLR1;CR2;CTSL;CXCR5;CYSLTR2;DEFB1;ELF1;ENPP1;ERMAP;ETS1;EXOSC9;FAS;FCGR2B;FCGR3A;FCGR3B;GATA3;GPR183;HIC2;ICOS;ICOSLG;IFI44;IFI44L;IFI6;IFITM3;IGF2BP3;IL15;IL1RN;IL2RA;IL7R;JPH4;KIR2DL1;KIR2DS1;KIR2DS2;KIR2DS5;KIR3DL1;KIR3DS1;LAX1;LIF;MARCHF1;MICA;MS4A2;NOD2;P2RX7;PANX1;PATZ1;PIK3R1;PRKRA;PTGER4;RGS1;RIPK2;SERPINB9;SIRT1;SMAD3;SOCS1;SPON2;TCF12;TCF7;TGFBR3;TLR3;TLR7;TNFRSF4;TNFSF10;TNFSF15;TNFSF4;TNFSF8;TNFSF9;TRIM22;VPREB3;ZBTB1;ZBTB2;ZBTB20;ZBTB25;ZBTB26;ZBTB33;ZBTB37;ZBTB39;ZBTB49;ZBTB6;ZNF131;ZNF134;ZNF572	BTN2A3P
