scoring_population	base_sample_id	projection_role	final_module_id	final_module_label	final_module_direction	gsva_score
main_all_projected_reference	Control_01	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.447520580704648
main_all_projected_reference	Control_02	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.657297196028222
main_all_projected_reference	Control_03	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.716135224608028
main_all_projected_reference	Control_04	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.128081304898199
main_all_projected_reference	Control_05	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.551224133870042
main_all_projected_reference	Control_06	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.230303952959972
main_all_projected_reference	Control_07	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0213714387095815
main_all_projected_reference	Control_08	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.246166238936434
main_all_projected_reference	Control_09	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.0316317991631797
main_all_projected_reference	Control_10	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.600610448030447
main_all_projected_reference	Control_11	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.360407781619556
main_all_projected_reference	Control_12	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.327203534463775
main_all_projected_reference	Control_13	secondary_control_context	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.266365176919462
