scoring_population	final_module_id	final_module_label	final_module_direction	n_bacterial	n_viral	mean_bacterial	sd_bacterial	q1_bacterial	median_bacterial	q3_bacterial	iqr_bacterial	mean_viral	sd_viral	q1_viral	median_viral	q3_viral	iqr_viral	median_difference_bacterial_minus_viral	hodges_lehmann_bacterial_minus_viral	hodges_lehmann_ci_lower	hodges_lehmann_ci_upper	rank_biserial_bacterial_vs_viral	rank_biserial_ci_lower	rank_biserial_ci_upper	wilcox_W	wilcox_p	bootstrap_replicates	bootstrap_seed	rank_biserial_orientation	wilcox_p_BH	expected_direction_match	submitted_n_bacterial	submitted_n_viral	submitted_mean_bacterial	submitted_mean_viral	submitted_median_bacterial	submitted_median_viral	submitted_median_difference_bacterial_minus_viral	submitted_wilcox_p	submitted_wilcox_p_BH	submitted_expected_direction_match	mean_bacterial_abs_difference	mean_viral_abs_difference	median_bacterial_abs_difference	median_viral_abs_difference	median_difference_abs_difference	wilcox_p_abs_difference	wilcox_p_BH_abs_difference	reference_check_status
main_all_projected_reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	52	94	0.0921757900002994	0.782157325805659	-0.338334196366245	-0.0512099069297803	0.376390423070351	0.714724619436596	-0.0654060472890546	0.798805757478836	-0.587739663183667	-0.257923917899844	0.23333369153463	0.821073354718297	0.206714010970064	0.171740511422191	-0.0209267494779853	0.376722118994869	0.175531914893617	-0.0106382978723404	0.362111292962357	2873	0.0799243564652853	10000	20261806	positive_means_higher_in_bacterial	0.0799243564652853	TRUE	52	94	0.0921757900002996	-0.0654060472890546	-0.0512099069297803	-0.257923917899844	0.206714010970064	0.0799243564652853	0.0799243564652853	TRUE	1.52655665885959e-16	2.77555756156289e-17	4.85722573273506e-17	5.55111512312578e-17	2.22044604925031e-16	1.38777878078145e-17	1.38777878078145e-17	PASS
main_all_projected_reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	52	94	0.208899367239193	0.658195922707901	-0.127795561385026	0.241090687872253	0.464963341920627	0.592758903305653	-0.0141779661485658	0.682421301666958	-0.553296880871526	-0.0917458119629793	0.329358660367584	0.88265554123911	0.332836499835232	0.271278330276656	0.0566667922451985	0.474805724736364	0.240998363338789	0.0507262684124387	0.427168576104746	3033	0.0161730187854322	10000	20261807	positive_means_higher_in_bacterial	0.0202162734817903	TRUE	52	94	0.208899367239193	-0.0141779661485658	0.241090687872253	-0.0917458119629794	0.332836499835232	0.0161730187854322	0.0202162734817903	TRUE	2.77555756156289e-17	1.04083408558608e-17	2.77555756156289e-17	5.55111512312578e-17	3.33066907387547e-16	3.46944695195361e-18	4.5102810375397e-17	PASS
main_all_projected_reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	52	94	-0.246550746041787	0.376151870387088	-0.478133593600329	-0.295749009701834	0.00882149206676952	0.486955085667099	0.233626632696282	0.603604130119917	-0.217572310856059	0.167198442572939	0.606812342904772	0.824384653760831	-0.462947452274773	-0.433386728183603	-0.617314825090316	-0.269374522164466	-0.47708674304419	-0.632160392798691	-0.30810147299509	1278	1.90756029587882e-06	10000	20261808	positive_means_higher_in_bacterial	4.76890073969705e-06	TRUE	52	94	-0.246550746041787	0.233626632696282	-0.295749009701834	0.167198442572938	-0.462947452274773	1.90756029587882e-06	4.76890073969705e-06	TRUE	4.71844785465692e-16	1.38777878078145e-16	5.55111512312578e-17	4.9960036108132e-16	4.9960036108132e-16	1.27054942088145e-21	2.5410988417629e-21	PASS
main_all_projected_reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	52	94	-0.26956497367652	0.421419738005672	-0.531361145696957	-0.375413651876157	-0.0528256895656608	0.478535456131296	0.340436467764166	0.739696372266219	-0.143058267219242	0.298485202161976	0.70303099728167	0.846089264500912	-0.673898854038133	-0.5739584925697	-0.788282537108653	-0.367685924935111	-0.514320785597381	-0.664903846153846	-0.35392798690671	1187	2.82349820628983e-07	10000	20261809	positive_means_higher_in_bacterial	1.41174910314491e-06	TRUE	52	94	-0.26956497367652	0.340436467764166	-0.375413651876157	0.298485202161975	-0.673898854038133	2.82349820628983e-07	1.41174910314491e-06	TRUE	2.22044604925031e-16	4.9960036108132e-16	5.55111512312578e-17	4.9960036108132e-16	4.44089209850063e-16	5.29395592033938e-22	2.32934060494933e-21	PASS
main_all_projected_reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	52	94	-0.17144790813375	0.39870131338348	-0.374691605360649	-0.220858728537747	0.0545686034945237	0.429260208855172	0.0908367815252406	0.508054140482322	-0.308247387286823	0.038698374091173	0.432354569406797	0.74060195669362	-0.25955710262892	-0.228441472270626	-0.406632375243839	-0.0631721828754982	-0.280687397708674	-0.454592880523732	-0.101063829787234	1758	0.00508827385008718	10000	20261810	positive_means_higher_in_bacterial	0.00848045641681196	TRUE	52	94	-0.17144790813375	0.0908367815252405	-0.220858728537747	0.038698374091173	-0.25955710262892	0.00508827385008718	0.00848045641681196	TRUE	1.66533453693773e-16	1.11022302462516e-16	2.77555756156289e-17	0	0	3.46944695195361e-18	1.73472347597681e-18	PASS
primary_only_reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	52	94	0.10767001504321	0.81195125460008	-0.337105187889673	-0.0450663457424795	0.410669505868005	0.747774693757678	-0.05956213598135	0.832164650564958	-0.608364557297978	-0.266116456290356	0.248536451790895	0.856901009088873	0.221050110547876	0.182443812500998	-0.0218277736954863	0.395191059014739	0.176759410801964	-0.0102291325695582	0.366612111292962	2876	0.077835567767349	10000	20262806	positive_means_higher_in_bacterial	0.077835567767349	TRUE	52	94	0.10767001504321	-0.05956213598135	-0.0450663457424796	-0.266116456290355	0.221050110547876	0.077835567767349	0.077835567767349	TRUE	3.33066907387547e-16	4.16333634234434e-17	5.55111512312578e-17	4.9960036108132e-16	0	1.38777878078145e-17	1.38777878078145e-17	PASS
primary_only_reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	52	94	0.14301656558463	0.656071507396928	-0.197843438268514	0.185092537524499	0.387390425794836	0.585233864063349	-0.0791155469191573	0.681613005039785	-0.593990948628513	-0.165284323900503	0.253432278705929	0.847423227334442	0.350376861425001	0.270393545073331	0.0592273383242255	0.471495669238704	0.248363338788871	0.0576923076923077	0.435351882160393	3051	0.0131918722289065	10000	20262807	positive_means_higher_in_bacterial	0.0164898402861331	TRUE	52	94	0.14301656558463	-0.0791155469191572	0.185092537524498	-0.165284323900502	0.350376861425001	0.0131918722289065	0.0164898402861331	TRUE	3.05311331771918e-16	6.93889390390723e-17	4.9960036108132e-16	5.27355936696949e-16	0	1.38777878078145e-17	4.5102810375397e-17	PASS
primary_only_reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	52	94	-0.291021792650443	0.36143695943924	-0.521339146146145	-0.342404685772091	-0.0455085849571359	0.475830561189009	0.160990778913011	0.575653391998176	-0.272060605685256	0.101739839776447	0.510799245102383	0.782859850787639	-0.444144525548538	-0.407925575126992	-0.582614946600481	-0.250551308962547	-0.467675941080196	-0.622749590834697	-0.300306873977087	1301	3.02690096568566e-06	10000	20262808	positive_means_higher_in_bacterial	7.56725241421415e-06	TRUE	52	94	-0.291021792650443	0.160990778913011	-0.342404685772091	0.101739839776447	-0.444144525548538	3.02690096568566e-06	7.56725241421415e-06	TRUE	2.77555756156289e-16	1.11022302462516e-16	5.55111512312578e-17	1.38777878078145e-17	0	8.470329472543e-22	2.5410988417629e-21	PASS
primary_only_reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	52	94	-0.370855863642177	0.40728579401892	-0.626337001336887	-0.472668589939535	-0.157608221881745	0.468728779455143	0.205154307546736	0.708554937908916	-0.25992893967198	0.171795175529683	0.555580417769422	0.815509357441402	-0.644463765469218	-0.544430955106001	-0.741964281137943	-0.343385749829453	-0.505728314238953	-0.659584697217676	-0.340834697217676	1208	4.44027783010254e-07	10000	20262809	positive_means_higher_in_bacterial	2.22013891505127e-06	TRUE	52	94	-0.370855863642177	0.205154307546736	-0.472668589939535	0.171795175529683	-0.644463765469218	4.44027783010254e-07	2.22013891505127e-06	TRUE	2.22044604925031e-16	3.33066907387547e-16	0	0	0	3.70576914423756e-22	1.6940658945086e-21	PASS
primary_only_reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	52	94	-0.166997474876352	0.392417567136509	-0.374201248889106	-0.219640485336016	0.0556295079599217	0.429830756849027	0.0923815818464926	0.497681220578191	-0.293009076340892	0.0429345342601169	0.445334987073579	0.738344063414471	-0.262575019596133	-0.225594619944615	-0.401739787544051	-0.0661730692090788	-0.282733224222586	-0.456628477905074	-0.0973813420621932	1753	0.00477512620392515	10000	20262810	positive_means_higher_in_bacterial	0.00795854367320857	TRUE	52	94	-0.166997474876352	0.0923815818464926	-0.219640485336016	0.0429345342601169	-0.262575019596133	0.00477512620392515	0.00795854367320857	TRUE	2.77555756156289e-17	1.38777878078145e-17	0	4.85722573273506e-17	1.66533453693773e-16	6.07153216591883e-18	3.46944695195361e-18	PASS
