metric	value
reference_populations	2
locked_module_count	5
main_reference_sample_count	201
primary_only_reference_sample_count	146
bacterial_sample_count	52
viral_sample_count	94
control_sample_count_main_only	55
reconstruction_rows	10
reconstruction_checks_passed	10/10
module_manifest_rows	10
leave_one_rows	622
leave_two_rows	29204
variant_rows_main	14913
variant_rows_primary_only	14913
total_variant_rows	29826
expected_total_variant_rows	29826
summary_rows	20
worst_case_rows	100
duplicate_variant_keys	0
nominal_alpha	0.05
reconstruction_tolerance	1e-12
analysis_elapsed_seconds	45.004
quality_gate	PASS
