scoring_population	final_module_id	deletion_order	final_module_label	final_module_direction	observed_variant_count	expected_direction_preserved_n	expected_direction_preserved_fraction	full_effect_sign_preserved_n	full_effect_sign_preserved_fraction	nominal_p_lt_0_05_n	nominal_p_lt_0_05_fraction	same_nominal_state_as_full_n	same_nominal_state_as_full_fraction	minimum_median_difference	maximum_median_difference	minimum_abs_median_difference	minimum_wilcox_p	maximum_wilcox_p	minimum_pearson_correlation_with_full	minimum_spearman_correlation_with_full	maximum_abs_effect_change_from_full	maximum_mean_abs_score_deviation	maximum_absolute_score_deviation	expected_variant_count	variant_count_match
main_all_projected_reference	BACT_M1	leave_one	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	24	24	1	24	1	1	0.0416666666666667	23	0.958333333333333	0.177449620148034	0.235498276576865	0.177449620148034	0.0416310130896972	0.105156541069169	0.998797711530136	0.996007093246638	0.0292643908220296	0.0392455522038621	0.175114668072869	24	TRUE
main_all_projected_reference	BACT_M1	leave_two	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	276	276	1	276	1	24	0.0869565217391304	252	0.91304347826087	0.149034288288012	0.254088673593074	0.149034288288012	0.0269034763530958	0.138498172802768	0.996860496644585	0.992263927885326	0.0576797226820519	0.066529702116519	0.362637759688433	276	TRUE
main_all_projected_reference	BACT_M2	leave_one	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	21	21	1	21	1	21	1	21	1	0.279080377321182	0.410660404460888	0.279080377321182	0.00785221603112061	0.0441493483577251	0.997667377182193	0.995947982857987	0.0778239046256558	0.0402733164860803	0.242087574426518	21	TRUE
main_all_projected_reference	BACT_M2	leave_two	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	210	210	1	210	1	204	0.971428571428571	204	0.971428571428571	0.237769818460758	0.430004460694039	0.237769818460758	0.00483632381393288	0.0820584728968168	0.994370655489489	0.991467415398256	0.0971679608588071	0.0647336812651102	0.411095291000601	210	TRUE
main_all_projected_reference	VIR_M1a	leave_one	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	128	128	1	128	1	128	1	128	1	-0.481673416066475	-0.452079875603026	0.452079875603026	1.32119913602493e-06	3.34272160521148e-06	0.999899897366821	0.999700014777597	0.018725963791702	0.00703785751798115	0.0832398354666681	128	TRUE
main_all_projected_reference	VIR_M1a	leave_two	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	8128	8128	1	8128	1	8128	1	8128	1	-0.499836235076822	-0.441567457823838	0.441567457823838	9.89319342676367e-07	4.1525026436006e-06	0.999644688977162	0.99934239692626	0.0368887828020491	0.0120838759926502	0.129818355529584	8128	TRUE
main_all_projected_reference	VIR_M1b	leave_one	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	33	33	1	33	1	33	1	33	1	-0.735556858693917	-0.658185793836756	0.658185793836756	8.92423832065347e-08	1.43420404914546e-06	0.999040516678135	0.9980109354219	0.0616580046557844	0.0280843857079481	0.132210925123293	33	TRUE
main_all_projected_reference	VIR_M1b	leave_two	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	528	528	1	528	1	528	1	528	1	-0.794823609186361	-0.632680326028908	0.632680326028908	3.17926094003079e-08	2.19734202522469e-06	0.996730676515158	0.99549135510566	0.120924755148228	0.0485771197745362	0.234261742110737	528	TRUE
main_all_projected_reference	VIR_M2	leave_one	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	105	105	1	105	1	105	1	105	1	-0.279682312177966	-0.234512130062527	0.234512130062527	0.00409351032674769	0.00712270302281264	0.999795548032019	0.999550761046254	0.0250449725663922	0.00915084874294089	0.113668115637601	105	TRUE
main_all_projected_reference	VIR_M2	leave_two	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	5460	5460	1	5460	1	5460	1	5460	1	-0.294295440019642	-0.212201978428068	0.212201978428068	0.00332205751055914	0.0108336292167289	0.999181782925343	0.999003989951234	0.047355124200852	0.0167298162725231	0.225328077923258	5460	TRUE
primary_only_reference	BACT_M1	leave_one	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	24	24	1	24	1	1	0.0416666666666667	23	0.958333333333333	0.181636397512177	0.248396784131497	0.181636397512177	0.0388477078616404	0.101693330460245	0.998782883307103	0.996463998920305	0.0394137130356992	0.0381429576167559	0.179128330020551	24	TRUE
primary_only_reference	BACT_M1	leave_two	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	276	276	1	276	1	25	0.0905797101449275	251	0.909420289855072	0.157011347595538	0.279331390988826	0.157011347595538	0.0271865513692018	0.136334652436779	0.996738097353446	0.99260408934476	0.064038762952338	0.0666752993690201	0.374063137663598	276	TRUE
primary_only_reference	BACT_M2	leave_one	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	21	21	1	21	1	21	1	21	1	0.285096023305348	0.395948945687873	0.285096023305348	0.00669824732549628	0.0400205750875846	0.997634140587473	0.994505123731118	0.0652808381196526	0.0397107592503183	0.238433820125498	21	TRUE
primary_only_reference	BACT_M2	leave_two	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	210	210	1	210	1	205	0.976190476190476	205	0.976190476190476	0.251044846822207	0.404132095660148	0.251044846822207	0.00425508906910378	0.0680486299207577	0.994020292486117	0.989746753684941	0.0993320146027938	0.0641617530891161	0.443514937951933	210	TRUE
primary_only_reference	VIR_M1a	leave_one	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	128	128	1	128	1	128	1	128	1	-0.45419616400407	-0.430867616558621	0.430867616558621	1.98637685459909e-06	4.57987071947193e-06	0.999900603140008	0.999652955183018	0.0132769089899174	0.00731685320138105	0.0701036353844577	128	TRUE
