replacement_id	label	source_occurrences	status
R01	Update manuscript working-version heading	1	APPLIED
R02	Remove internal drafting note	1	APPLIED
R03	Simplify Abstract Objectives	1	APPLIED
R04	Simplify Abstract Methods	1	APPLIED
R05	Simplify Abstract Conclusions	1	APPLIED
R06	Simplify final Introduction paragraph	1	APPLIED
R07	Simplify GSE211567 Methods heading	1	APPLIED
R08	Simplify GSE211567 discovery-set wording	1	APPLIED
R09	Simplify GSE72810 Methods heading	1	APPLIED
R10	Simplify GSE72810 primary-contrast wording	1	APPLIED
R11	Simplify GSE72810 representative-probe description	1	APPLIED
R12	Simplify module-scoring heading	1	APPLIED
R13	Simplify reproducibility-boundary wording	1	APPLIED
R14	Simplify discovery Results terminology	1	APPLIED
R15	Simplify GSE73461 Results opening	1	APPLIED
R16	Simplify Figure 1 title	1	APPLIED
R17	Simplify Figure 1A terminology	1	APPLIED
R18	Simplify Figure 2 title	1	APPLIED
R19	Simplify Supplementary Figure S1 wording	1	APPLIED
R20	Simplify Table 1 description	1	APPLIED
R21	Simplify Figure 3 caption wording	1	APPLIED
R22	Simplify Supplementary Table S7 wording	1	APPLIED
