anchor	submitted_paragraph_hits	clean_paragraph_hits	submitted_count	clean_count
Abstract	NONE	10	0	1
Introduction	8	19	1	1
Methods	35	13,24	1	2
Results	11	15,47	1	2
Discussion	29	92	1	1
References	48	119	1	1
GSE211567	6,10,12,14,17,18,23,24,26,29,36,37,38,40,46,47	12,14,23,26,27,28,29,48,49,50,51,52,53,59,63,65,66,79,93,99,110,116,131	16	23
GSE73461	6,10,16,17,18,19,26,27,28,29,31,32,33,36,37,40,41,46,47	14,16,23,26,27,31,32,42,43,45,56,57,59,60,61,63,66,67,68,77,78,80,83,88,91,93,97,99,100,110,116,132,143,144,145	19	35
GSE72810	NONE	14,16,23,26,27,34,35,36,41,45,73,74,77,78,80,83,88,93,95,97,100,110,116,133,143	0	25
GSVA	NONE	14,16,18,42,89,95,100,101,144	0	9
29,826	NONE	16,91,145	0	3
ChatGPT	NONE	118	0	1
