supplementary_table_section	final_module_id	final_module_label	final_module_direction	ENTREZID	SYMBOL	SYMBOL_UPPER	symbol_match	entrez_match	any_match
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	1979	EIF4EBP2	EIF4EBP2	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	28998	MRPL13	MRPL13	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	29093	MRPL22	MRPL22	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	64963	MRPS11	MRPS11	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	51023	MRPS18C	MRPS18C	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6138	RPL15	RPL15	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6139	RPL17	RPL17	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	9349	RPL23	RPL23	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6154	RPL26	RPL26	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	51121	RPL26L1	RPL26L1	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6155	RPL27	RPL27	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6159	RPL29	RPL29	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6160	RPL31	RPL31	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6164	RPL34	RPL34	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6133	RPL9	RPL9	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6175	RPLP0	RPLP0	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6210	RPS15A	RPS15A	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6229	RPS24	RPS24	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6232	RPS27	RPS27	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6189	RPS3A	RPS3A	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6192	RPS4Y1	RPS4Y1	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6201	RPS7	RPS7	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	6203	RPS9	RPS9	True	True	True
S3B_matched_locked_module_genes	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	7311	UBA52	UBA52	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	498	ATP5F1A	ATP5F1A	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	521	ATP5ME	ATP5ME	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	9551	ATP5MF	ATP5MF	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	847	CAT	CAT	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	4191	MDH2	MDH2	True	True	True
