analysis_id	analysis_role	final_module_id	final_module_label	module_direction	comparison_group	n	mean_score	sd_score	median_score	first_quartile	third_quartile	interquartile_range	minimum_score	maximum_score
main_representative_all146_z_definite	primary	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	bacterial	23	0.25557145532804	0.669773396031352	0.266969273671569	-0.241742147940945	0.842252391411239	1.08399453935218	-0.906014500227096	1.39725745588325
main_representative_all146_z_definite	primary	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	viral	28	-0.0601126424363633	0.77314816289742	-0.251398759080015	-0.549290014684523	0.538950745108844	1.08824075979337	-1.49193122367999	1.18619085335761
main_representative_all146_z_definite	primary	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	bacterial	23	0.400895048129582	0.395982883573847	0.352802825302284	0.11685652892993	0.71794723294378	0.60109070401385	-0.249277544375684	1.16490133297444
main_representative_all146_z_definite	primary	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	viral	28	-0.0401668392263094	0.507221875727793	-0.0701323586989744	-0.313852078810846	0.287140523393491	0.600992602204337	-1.07610501579081	0.805971147443852
main_representative_all146_z_definite	primary	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	bacterial	23	-0.37581420072442	0.225881283039911	-0.370451779543252	-0.524795225029465	-0.235357106413135	0.28943811861633	-0.926730003458137	0.0368735358272296
main_representative_all146_z_definite	primary	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	viral	28	0.362736656338743	0.345565962213937	0.317450169622046	0.132953340755223	0.648691550033073	0.51573820927785	-0.69494205881256	0.959789036410909
main_representative_all146_z_definite	primary	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	bacterial	23	-0.451594273881825	0.341743122712003	-0.493915608845421	-0.744953986068017	-0.186170964831194	0.558783021236823	-1.06598137719267	0.24069883397358
main_representative_all146_z_definite	primary	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	viral	28	0.521361832054785	0.520023901120038	0.411279200842378	0.168115123194054	0.952655228989372	0.784540105795318	-0.799841929262589	1.54602888148549
main_representative_all146_z_definite	primary	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	bacterial	23	-0.328085073192971	0.215571901091849	-0.309498826489168	-0.452991695843371	-0.204114724769428	0.248876971073943	-0.747252433290909	0.268949751983592
main_representative_all146_z_definite	primary	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	viral	28	0.230195069608623	0.209423173101238	0.237677041357401	0.166409279944643	0.37813558388112	0.211726303936477	-0.490215415017953	0.541843553867942
primary_only_representative_51_z_definite	z_reference_sensitivity	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	bacterial	23	0.170155954023383	0.657828152060972	0.183087395296933	-0.318049454462588	0.747704917270418	1.06575437173301	-0.983865119937424	1.29475217975315
primary_only_representative_51_z_definite	z_reference_sensitivity	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	viral	28	-0.139770962233494	0.772514797191857	-0.32670762628659	-0.631398866922193	0.456226398129939	1.08762526505213	-1.5792554309534	1.09389234869336
primary_only_representative_51_z_definite	z_reference_sensitivity	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	bacterial	23	0.230937167720157	0.390738761846872	0.205184523769586	-0.0544846497031357	0.550065746083298	0.604550395786433	-0.411499128462831	0.970821591083108
primary_only_representative_51_z_definite	z_reference_sensitivity	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	viral	28	-0.189698387770128	0.501481137039333	-0.21682516494473	-0.479766536597956	0.141210291421328	0.620976828019283	-1.21446177710112	0.640723805952643
primary_only_representative_51_z_definite	z_reference_sensitivity	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	bacterial	23	-0.400246825895426	0.224195988476341	-0.389192742575468	-0.551906921649442	-0.262882224893095	0.289024696756346	-0.933838719638655	0.0207294724352975
primary_only_representative_51_z_definite	z_reference_sensitivity	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	viral	28	0.3287741784141	0.34266178034683	0.282495570160543	0.0965684128220659	0.613941007870367	0.517372595048301	-0.704335439256125	0.934329197038168
