final_module_id	cohort_id	cohort_label	platform_id	validation_role	scoring_population	scoring_rule	final_module_label	expected_direction	bacterial_n	viral_n	median_bacterial	median_viral	median_difference_bacterial_minus_viral	hodges_lehmann_shift_bacterial_minus_viral	hodges_lehmann_ci_low	hodges_lehmann_ci_high	rank_biserial_effect	rank_biserial_ci_low	rank_biserial_ci_high	wilcoxon_p	wilcoxon_q	bootstrap_replicates	direction_retained	observed_direction	hodges_lehmann_ci_excludes_zero	rank_biserial_ci_excludes_zero	fdr_significant	coverage_module_label	coverage_direction	locked_gene_count	genes_scored	missing_genes	coverage_fraction	representative_probes_frozen	module_display_label	effect_orientation	accession_independence_boundary
BACT_M1	GSE73461	GSE73461: GPL10558; 52 bacterial, 94 viral	GPL10558	Formal external fixed-module projection cohort relative to GSE211567 discovery	main_all_projected_reference	Unweighted mean gene-wise z score; all projected samples as z-reference	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	52	94	-0.0512099069297803	-0.257923917899844	0.206714010970064	0.171740511422191	-0.0209267494779853	0.376722118994869	0.175531914893617	-0.0106382978723404	0.362111292962357	0.0799243564652853	0.0799243564652853	10000	TRUE	higher_in_bacterial	FALSE	FALSE	FALSE	Bacterial-higher cytoplasmic translation and ribosomal protein programme	Higher in bacterial	25	24	HYDIN2	0.96	NA	BACT_M1: Translation and ribosomal programme	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Formal external projection cohort relative to GSE211567 discovery; no gene or module reselection.
BACT_M1	GSE72810	GSE72810: GPL6947; 23 bacterial, 28 viral	GPL6947	Second accession-level and deposited-sample-level cohort providing cross-platform validation	main_representative_all146_z_definite	Frozen representative-probe unweighted mean gene-wise z score; all 146 samples as z-reference	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	23	28	0.266969273671569	-0.251398759080015	0.518368032751584	0.265690108659873	-0.0241750409031892	0.722437228612692	0.288819875776398	-0.0217391304347826	0.571428571428571	0.0799447959260528	0.0799447959260528	10000	TRUE	higher_in_bacterial	FALSE	FALSE	FALSE	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	25	24	HYDIN2	0.96	TRUE	BACT_M1: Translation and ribosomal programme	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Disjoint GSM accession set and distinct platform relative to GSE73461; participant overlap not directly assessable; shared broad investigator network.
BACT_M2	GSE73461	GSE73461: GPL10558; 52 bacterial, 94 viral	GPL10558	Formal external fixed-module projection cohort relative to GSE211567 discovery	main_all_projected_reference	Unweighted mean gene-wise z score; all projected samples as z-reference	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	52	94	0.241090687872253	-0.0917458119629793	0.332836499835232	0.271278330276656	0.0566667922451985	0.474805724736364	0.240998363338789	0.0507262684124387	0.427168576104746	0.0161730187854322	0.0202162734817903	10000	TRUE	higher_in_bacterial	TRUE	TRUE	TRUE	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	Higher in bacterial	21	21		1	NA	BACT_M2: Mitochondrial respiration and OXPHOS	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Formal external projection cohort relative to GSE211567 discovery; no gene or module reselection.
BACT_M2	GSE72810	GSE72810: GPL6947; 23 bacterial, 28 viral	GPL6947	Second accession-level and deposited-sample-level cohort providing cross-platform validation	main_representative_all146_z_definite	Frozen representative-probe unweighted mean gene-wise z score; all 146 samples as z-reference	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	23	28	0.352802825302284	-0.0701323586989745	0.422935184001258	0.425455360908241	0.161149713818264	0.676441760332897	0.518633540372671	0.236024844720497	0.760869565217391	0.00162260907260411	0.00202826134075514	10000	TRUE	higher_in_bacterial	TRUE	TRUE	TRUE	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	21	20	NDUFAF8	0.952380952380952	TRUE	BACT_M2: Mitochondrial respiration and OXPHOS	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Disjoint GSM accession set and distinct platform relative to GSE73461; participant overlap not directly assessable; shared broad investigator network.
VIR_M1a	GSE73461	GSE73461: GPL10558; 52 bacterial, 94 viral	GPL10558	Formal external fixed-module projection cohort relative to GSE211567 discovery	main_all_projected_reference	Unweighted mean gene-wise z score; all projected samples as z-reference	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	52	94	-0.295749009701834	0.167198442572939	-0.462947452274773	-0.433386728183603	-0.617314825090316	-0.269374522164466	-0.47708674304419	-0.632160392798691	-0.30810147299509	1.90756029587882e-06	4.76890073969705e-06	10000	TRUE	higher_in_viral	TRUE	TRUE	TRUE	Viral-higher broad antiviral and interferon-stimulated defence programme	Higher in viral	128	128		1	NA	VIR_M1a: Broad antiviral and interferon defence	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Formal external projection cohort relative to GSE211567 discovery; no gene or module reselection.
VIR_M1a	GSE72810	GSE72810: GPL6947; 23 bacterial, 28 viral	GPL6947	Second accession-level and deposited-sample-level cohort providing cross-platform validation	main_representative_all146_z_definite	Frozen representative-probe unweighted mean gene-wise z score; all 146 samples as z-reference	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	23	28	-0.370451779543252	0.317450169622046	-0.687901949165298	-0.725903709842063	-0.906625603185135	-0.576921708481176	-0.93167701863354	-1	-0.785714285714286	1.4323575200407e-08	7.1617876002035e-08	10000	TRUE	higher_in_viral	TRUE	TRUE	TRUE	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	128	125	DDX60L;MICA;POLR3E	0.9765625	TRUE	VIR_M1a: Broad antiviral and interferon defence	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Disjoint GSM accession set and distinct platform relative to GSE73461; participant overlap not directly assessable; shared broad investigator network.
VIR_M1b	GSE73461	GSE73461: GPL10558; 52 bacterial, 94 viral	GPL10558	Formal external fixed-module projection cohort relative to GSE211567 discovery	main_all_projected_reference	Unweighted mean gene-wise z score; all projected samples as z-reference	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	52	94	-0.375413651876157	0.298485202161976	-0.673898854038133	-0.5739584925697	-0.788282537108653	-0.367685924935111	-0.514320785597381	-0.664903846153846	-0.35392798690671	2.82349820628983e-07	1.41174910314491e-06	10000	TRUE	higher_in_viral	TRUE	TRUE	TRUE	Viral-higher viral restriction and type I interferon signalling subgroup	Higher in viral	33	33		1	NA	VIR_M1b: Viral restriction and type I interferon	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Formal external projection cohort relative to GSE211567 discovery; no gene or module reselection.
VIR_M1b	GSE72810	GSE72810: GPL6947; 23 bacterial, 28 viral	GPL6947	Second accession-level and deposited-sample-level cohort providing cross-platform validation	main_representative_all146_z_definite	Frozen representative-probe unweighted mean gene-wise z score; all 146 samples as z-reference	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	23	28	-0.493915608845421	0.411279200842378	-0.905194809687799	-0.941263770728306	-1.20105879662647	-0.752210632476298	-0.897515527950311	-1	-0.745341614906832	4.72801153263495e-08	8.76530992431096e-08	10000	TRUE	higher_in_viral	TRUE	TRUE	TRUE	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	33	33		1	TRUE	VIR_M1b: Viral restriction and type I interferon	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Disjoint GSM accession set and distinct platform relative to GSE73461; participant overlap not directly assessable; shared broad investigator network.
VIR_M2	GSE73461	GSE73461: GPL10558; 52 bacterial, 94 viral	GPL10558	Formal external fixed-module projection cohort relative to GSE211567 discovery	main_all_projected_reference	Unweighted mean gene-wise z score; all projected samples as z-reference	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	52	94	-0.220858728537747	0.038698374091173	-0.25955710262892	-0.228441472270626	-0.406632375243839	-0.0631721828754982	-0.280687397708674	-0.454592880523732	-0.101063829787234	0.00508827385008718	0.00848045641681196	10000	TRUE	higher_in_viral	TRUE	TRUE	TRUE	Viral-higher cytokine and innate immune regulation programme	Higher in viral	106	105	BTN2A3P	0.990566037735849	NA	VIR_M2: Cytokine and innate immune regulation	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Formal external projection cohort relative to GSE211567 discovery; no gene or module reselection.
VIR_M2	GSE72810	GSE72810: GPL6947; 23 bacterial, 28 viral	GPL6947	Second accession-level and deposited-sample-level cohort providing cross-platform validation	main_representative_all146_z_definite	Frozen representative-probe unweighted mean gene-wise z score; all 146 samples as z-reference	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	23	28	-0.309498826489168	0.237677041357402	-0.54717586784657	-0.57637662297482	-0.68230049085019	-0.475036953058481	-0.894409937888199	-1	-0.72360248447205	5.25918595458657e-08	8.76530992431096e-08	10000	TRUE	higher_in_viral	TRUE	TRUE	TRUE	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	106	101	CCR2;CCRL2;KIR2DS2;KIR3DS1;MICA	0.952830188679245	TRUE	VIR_M2: Cytokine and innate immune regulation	Positive values indicate higher scores in bacterial samples; negative values indicate higher scores in viral samples.	Disjoint GSM accession set and distinct platform relative to GSE73461; participant overlap not directly assessable; shared broad investigator network.
